date,source,headline,entities
2011-11-02,daily_nation,Anti-graft team shelves Ngilu probe,"ngilu, eacc"
2011-11-07,daily_nation,MPs dismiss corruption claims,parliament
2011-11-07,daily_nation,IIEC warns aspirants in Kitutu Masaba race against bribery,"kitutu masaba, iebc"
2011-11-08,daily_nation,KOIGI: Development eludes us due to negative ethnicity and corruption,koigi
2011-11-14,daily_nation,LAIBUTA: Corruption is rife during operations,laibuta
2011-11-16,business_daily,Corruption claims at Kenya Rugby Union,kenya rugby union
2011-11-20,daily_nation,Only four days left to name anti-graft czar,eacc
2011-11-26,daily_nation,Biya orders trial of ministers cited in graft report,biya
2011-12-02,daily_nation,Kibaki Raila pick Matemu new graft boss,"kibaki, raila, matemu"
2011-12-02,standard,Showdown in House over graft nominees,parliament
2011-12-09,daily_nation,OCHULA: Why we journalists must fight corruption,ochula
2011-12-10,daily_nation,Wako faulted for leaving out Awori in corruption case,"wako, awori"
2011-12-15,daily_nation,House team rejects Kibaki graft names,"parliament, kibaki"
2011-12-16,business_daily,Corruption rife at Lands ministry despite reforms,lands ministry
2011-12-19,business_daily,MAKANA: Leaders should be serious about graft war,makana
2011-12-20,business_daily,Matemu in focus as MPs debate anti graft jobs,"matemu, parliament"
2011-12-27,daily_nation,MPs lack will to end graft says Mutula,"mutula, parliament"
2011-12-29,daily_nation,WAMWERE: The war against corruption is already lost,wamwere
2012-01-01,daily_nation,MUTIGA: Disbanding anti-graft body should be first step,mutiga
2012-01-09,business_daily,Six parastatal chiefs fired as state tackles graft,"nwcpc, faith karimi njeru, florence musau, mustafa abdi aman, paul mbatha, joseph weya, stanley gikandi"
2012-01-09,daily_nation,The Scorpions and anti-graft fight in Africa,"scorpions, africa"
2012-01-30,standard,Fresh graft claims taint Parliament<U+92>s integrity,parliament
2012-02-06,business_daily,City Hall to curb graft with automation of services s,nairobi
2012-02-13,daily_nation,Mutula: Change Act to give anti-graft body teeth,mutula
2012-02-14,standard,MPs approve anti-graft body nominees,"parliament, eacc"
2012-03-18,standard,MYSA confirms corruption claims,mysa
2012-04-01,daily_nation,WARIGI: Oil fuels corruption in a grand way,warigi
2012-04-24,daily_nation,WAMWERE: <U+91>Eating<U+92> money from politicians is graft,wamwere
2012-04-28,daily_nation,Marende gags MPs on corruption claims,"marende, parliament"
2012-05-01,business_daily,CDF tops list of graft files taken to Tobiko,"cdf, tobiko"
2012-05-01,daily_nation,Staff crisis hits anti-graft agency,eacc
2012-05-08,business_daily,Anti-graft agency seeks to reclaim KMC land,"eacc, kmc"
2012-05-11,standard,Is CBK a citadel of corruption?,cbk
2012-05-12,daily_nation,Matemu gets MPs<U+92> nod to lead war on corruption,"matemu, parliament"
2012-05-12,standard,Court blocks Matemu<U+92>s appointment as anti-graft boss,"matemu, court, eacc"
2012-05-16,standard,Kenyan MP Omar Zonga faces land corruption charges.,"omar zonga, mp"
2012-05-30,daily_nation,Stop bribing judicial officers urges Mutunga,mutunga
2012-06-03,daily_nation,Death threats bribery mar report on NHIF,nhif
2012-06-07,daily_nation,Police and anti-graft team to probe NHIF,nhif
2012-06-14,daily_nation,Anti-graft officials fight for judge posts,eacc
2012-06-15,standard,Graft watchdog probes NHC houses allocation,nhc
2012-06-18,daily_nation,KIMEU: Graft: Why we must raise the bar high,kimeu
2012-06-28,standard,world bank blacklists Oxford University Press over corruption,"world bank, oxford university press, kenya, tanzania"
2012-06-29,standard,AG<U+92>s net must catch graft lords recover looted cash,ag
2012-06-30,daily_nation,MPs throw out report on graft in NHIF medical plan,"nhif, parliament"
2012-07-05,standard,The Kenya National Bureau of Statistics Director General Anthony Kilele arrested by EACC officers on graft allegations.,"knbs, eacc, anthony kilele"
2012-07-10,standard,VP pledges to fight graft impunity,kalonzo
2012-07-12,daily_nation,Miguna: Our office was a swamp of graft,miguna
2012-07-12,standard,Ruto questions Raila<U+92>s reform credentials corruption record,"raila, ruto"
2012-07-19,daily_nation,Blow by blow reply to maize graft claims in Miguna book,miguna
2012-07-21,standard,Karua holds fundraising dinner promises she will wipe out graft,karua
2012-07-25,daily_nation,Graft in Lands offices still rife says group,lands ministry
2012-07-29,standard,Anti-graft body moves to recover Sh61m scam cash,eacc
2012-08-01,standard,Karua warns of campaign bribery,karua
2012-08-05,daily_nation,Anti-graft office faces new court battle,eacc
2012-08-06,daily_nation,Traffic boss unveils new anti-graft drive,traffic police
2012-08-13,business_daily,Digital mapping of public land to curb graft in counties,lands ministry
2012-08-21,business_daily,Anti-corruption team revives bid to seize Sh75m land,eacc
2012-08-26,standard,Court acquits former Assistant Minister James Gesami of graft charges,"james gesami, court"
2012-09-01,standard,Bribery index : Kenya ranked 3rd in East africa,"kenya, east africa"
2012-09-03,business_daily,Police retain top rank on E. Africa corruption index,"east africa, police"
2012-09-06,daily_nation,Khalwale claims MPs were bribed to 'kill report',"khalwale, parliament"
2012-09-07,standard,Khalwale under fire after claiming MPs were bribed,"khalwale, parliament"
2012-09-10,standard,Ethics and Anti-Corruption Commission has no chair after Mumo Matemu appointment was annuled by Court,"eacc, matemu, court"
2012-09-25,standard,Jinx of anti-graft body chair haunts EACC,eacc
2012-10-31,standard,Five shortlisted for top anti-corruption job,eacc
2012-11-05,standard,Raila: I<U+92>ll go after stolen public assets,raila
2012-11-11,standard,Failure to take oath haunts anti-graft body official,eacc
2012-11-28,standard,Ex-police officer new anti-graft commission bos,"abdi ahmed mohamud, eacc"
2012-12-03,standard,IEBC asked to probe voter bribery,iebc
2012-12-07,business_daily,3 jobs lost each year to graft says World Bank,world bank
2012-12-10,standard,Anti-corruption body averts Sh1.2b loss,eacc
2012-12-11,business_daily,Ethics team roots for integrity to fight graft in counties,eacc
2012-12-19,standard,I am clean Uhuru tells Raila over stolen wealth,"uhuru, raila"
2012-12-20,standard,This Jubilee year MPs should refund monies stolen from us,"jubilee, parliament"
2012-12-22,standard,Anti-graft body will not vet aspirants,eacc
2012-12-29,standard,Graft body vows to vet all aspirants,eacc
2013-01-04,business_daily,KCB employee charged with embezzling Sh6 million,kcb
2013-01-12,standard,Corruption Watch with John Allan Namu,john allan namu
2013-01-15,standard,Anti-graft agency launches voter bribery hotline,eacc
2013-02-07,standard,Report: Kibaki failed to stem corruption,kibaki
2013-02-10,standard,CORD aspirant attacked for not bribing youth,cord
2013-02-16,standard,Karua asks voters to reject bribes,karua
2013-02-26,business_daily,Mweni signs deal with CBK to pay for stolen bonds,"mweni, cbk"
2013-03-01,business_daily,Foreign Affairs PS out on Sh2m bail over graft charges,"foreign affairs ministry, thuita mwangi"
2013-03-02,standard,Shun <U+91>poor<U+92> leaders giving out bribes Mudavadi warns,mudavadi
2013-03-05,standard,Voter bribery claims mar election in Taita Taveta,taita taveta
2013-03-20,standard,Kidero interdicts four over Sh18M graft,"kidero, vincent odhiambo,  dominic ndaka,  jeremiah maritah, anthony kipsang"
2013-04-11,business_daily,Anti-corruption body to open offices in counties,eacc
2013-04-11,standard,Anti-graft body to probe Principal Secretaries selection,eacc
2013-04-17,standard,Anti-graft agency says Kimemia not fit for public office,"eacc, kimemea"
2013-04-17,standard,Kidero bribe was too little too early,kidero
2013-04-21,standard,Youth Fund board suspends CEO amid claims of graft,"youth fund, juma mwatata"
2013-04-30,standard,CJ Mutunga denies bribe claims,mutunga
2013-05-08,business_daily,Trader claims Treasury lost Sh2.6 billion in stolen bonds,treasury
2013-05-11,standard,Public-driven Bill to fight graft set for House,parliament
2013-05-12,standard,Zero tolerance to corruption is Jubilee<U+92>s best option,jubilee
2013-05-17,standard,Will Uhuru walk the talk on graft?,uhuru
2013-06-02,standard,Anti-graft officials question Kibunjia,"eacc, kibunja"
2013-06-14,standard,Uhuru orders PSs to perform seal corruption avenues,uhuru
2013-06-19,standard,Mombasa Municipal debt crisis blamed on Corruption,mombasa
2013-06-20,standard,Bribery claims dominate Othaya election petition,othaya
2013-06-22,standard,AP kills colleague over Sh5  bribe,ap
2013-06-28,standard,Football Kenya Federation hit by claims of corruption,fkf
2013-07-05,standard,MP charged with seeking Sh1 bribe from man,"kasarani, john njoroge chege"
2013-07-12,standard,Namwamba accused of bribery in election case,namwamba
2013-07-23,standard,Immigration officer arrested over bribery,immigration department
2013-07-24,business_daily,Tame graft Kenyans ask new land commission,nlc
2013-07-24,standard,Matemu finally takes over as anti-graft boss,"matemu, eacc"
2013-07-29,standard,FKF denies funds embezzlement allegations,fkf
2013-08-03,standard,Jubilee keen on war against graft says AG,ag
2013-08-03,standard,Anti-graft body yet to contact me says Balala,"eacc, balala"
2013-08-03,standard,KeNHA unveils new measures to tackle graft at weighbridges,kenha
2013-08-04,standard,Anti-graft body probes Sh1.3 billion tender for supply of poll gadgets,"eacc, iebc"
2013-08-10,standard,Balala fury at Sh8m bribe accusations,balala
2013-08-12,standard,KeNHA defends self over bribery claims,kenha
2013-08-15,business_daily,KRA official charged over Sh9m bribery,kra
2013-08-17,standard,IEBC bribe plot that <U+91>led to election chaos<U+92>,iebc
2013-08-17,standard,Beware: Fake traffic police taking bribes near KIMC,"traffic police, kimc"
2013-08-21,business_daily,Shollei sent on leave as graft probe starts,shollei
2013-08-28,standard,MPs request Uhuru to help disband traffic police department due to corruption,"uhuru, traffic police, parliament"
2013-09-07,business_daily,Kisumu governor suspends six over Sh1bn graft claims,kisumu
2013-09-07,standard,Shollei to defend herself before JSC on corruption allegations,"jsc, shollei"
2013-09-13,standard,Westgate happened because we tolerate corruption,westgate
2013-09-18,standard,Enemies of reforms derail efforts to make judiciary transparent graft free,judiciary
2013-10-02,standard,IEBC: anti-corruption commission did a shoddy audit,iebc
2013-10-16,standard,KRA partners with EACC in war on graft,"kra, eacc"
2013-10-25,business_daily,UK supplier of IEBC ballot papers charged with graft,"uk, iebc"
2013-10-29,standard,ICC officials accused of bribery and harassment,icc
2013-10-30,standard,Baringo leader rejects corruption ranking,baringo
2013-11-02,standard,We are watching anti-graft chief warns counties,eacc
2013-11-04,business_daily,Former NHIF boss on fresh graft charges,"nhif, richard kerich "
2013-11-07,standard,Bensouda: I have audio on bribery attempts,bensouda
2013-11-13,business_daily,Court freezes corruption case against Clinix over NHIF saga,"clinix, nhif"
2013-11-13,business_daily,Baringo  officials demand the highest bribes <U+96> EACC survey,"baringo  , eacc"
2013-11-13,standard,Uasin Gishu Baringo top in county bribery,"uasin gishu, baringo"
2013-11-14,business_daily,City Hall audits rental houses in war on graft,nairobi
2013-11-15,business_daily,City Hall<U+92>s tenancy audit must also address graft,nairobi
2013-11-29,standard,Anti-corruption agency warns over ghost projects,eacc
2013-12-05,standard,Peter kavila defends himself against allegations of corruption and nepotism,peter kavila
2013-12-06,standard,We are probing graft claims at Nema CS says,nema
2013-12-11,standard,Nyamweya sues over graft claim,nyamweya
2013-12-13,business_daily,Uhuru takes on corruption as Kenya turns 5,uhuru
2013-12-14,standard,TSC has zero tolerance for corruption in its ranks,tsc
2013-12-17,business_daily,City Hall plans  audits in war on corruption,nairobi
2013-12-18,standard,CORD Amani nail each other on bribery claims,"cord, amani"
2013-12-19,standard,Omar Shurie denies taking bribe of ksh 15 during the police vetting,omar shurie
2013-12-20,standard,Voter bribery claims dominate Bungoma Senate by-election,bungoma
2013-12-21,standard,Policewoman takes only M-pesa bribes,police
2013-12-24,standard,Investigate graft claims linked to new railway project,sgr
2013-12-31,business_daily,Work cut out for IG after police top bribery charts,"ig, police"
2013-12-31,standard,NAKURU: Police still collecting bribes,nakuru
2014-01-06,standard,Wetang<U+92>ula claims Sh4m was given as bribe before Chinese company won railway tende,"wetangula, china, sgr"
2014-01-08,business_daily,Address NSSF graft claims,nssf
2014-01-08,standard,Probe graft claims Atwoli tells State,atwoli
2014-01-08,standard,CORD leaders raise red flag over corruption in government,cord
2014-01-09,standard,Aden Duale: Graft cartels blackmailing State,duale
2014-01-16,standard,Corruption cartel interview with the governor's expert Tom Mboya,tom mboya
2014-01-16,standard,No workers<U+92> cash has been embezzled says Magoha,magoha
2014-01-17,standard,Kambi told to investigate graft claims at NCPWD,"kambi, ncpwd"
2014-01-17,standard,Commission of revenue allocation defends  on fighting corruption,cra
2014-01-20,business_daily,Anti-graft body probes KPA over Sh2.5bn cranes tender,"kpa, eacc"
2014-01-23,standard,Embu county governor Martin Nyaga Wambora dismisses corruption charge,"wambora, embu"
2014-01-26,standard,EACC launches anti-graft training for county officials,eacc
2014-01-27,standard,President is condoning graft claims CORD,cord
2014-01-28,standard,Mututho now invites anti-graft officials to Nacada,"mututho, nacada"
2014-01-31,business_daily,Kibwana sacks two officials over graft,kibwana
2014-01-31,standard,Karua hits at Uhuru administration over graft,"karua, uhuru"
2014-02-02,standard,Trader in tussle with NEMA on house bribe claims found dead,nema
2014-02-04,standard,MPs defend Alfred Mutua against claims of corruption,mutua
2014-02-05,business_daily,Uhuru puts civil servants on notice over corruption,uhuru
2014-02-10,standard,Uhuru must act decisively to wipe out graft,uhuru
2014-02-15,standard,Anti-corruption commission targets 3 governors in graft probe,eacc
2014-02-20,standard,MP charged with handling stolen goods,"nakuru east, david gikaria "
2014-02-22,standard,Anti-graft unit to reclaim port land,eacc
2014-02-24,standard,PLO<U+92>s zeal restores faith in war on graft,lumumba
2014-02-25,standard,LSK gives anti-graft team citizenship details of Kabogo's deputy,"lsk, kabogo, eacc"
2014-02-25,standard,Corruption holds Jubilee government captive,jubilee
2014-02-26,standard,Kambi claims corruption cartels behind case challenging his academic credentials,kambi
2014-02-27,standard,Amos Kimunya arrested by anti-corruption officials over irregular land allocation,"kimunya, eacc"
2014-02-27,standard,Wipe out graft and wasteful spending experts tell Uhuru,uhuru
2014-03-03,business_daily,Ethics commission must tame graft at the counties,eacc
2014-03-05,standard,Jubilee losing the war on corruption,jubilee
2014-03-06,standard,Officers abetting bribery says Kimaru,kimaru
2014-03-07,daily_nation,Anti-graft agency told to probe county units,eacc
2014-03-09,standard,Uhuru: Government will fight graft from grassroots,uhuru
2014-03-11,standard,Uhuru Ruto move to confront graft monster bleeding Kenya,"uhuru, ruto"
2014-03-12,business_daily,Tobiko seeks to drop graft case over witnesses<U+92> safety fears,tobiko
2014-03-15,standard,Matemu vows to deal firmly with corruption in counties,matemu
2014-03-16,daily_nation,MUTIGA: Why corruption remains a way of life,mutiga
2014-03-16,daily_nation,OCHIENG: Concerted national effort needed to stem corruption,ochieng
2014-03-16,standard,Is Uhuru serious about ending wastage corruption?,uhuru
2014-03-17,standard,Envoy says UK investors wary of graft crime,uk
2014-03-17,standard,Cops change tactics,police
2014-03-19,daily_nation,Corruption in House worries MPs,parliament
2014-03-19,daily_nation,Anti-graft team must bite hard not just bark,eacc
2014-03-19,standard,Ruto: No one will be spared in war against graft,ruto
2014-03-20,business_daily,Uhuru wants policy on graft by December,uhuru
2014-03-20,standard,It is all the doing of ghost workers graft SRC told,src
2014-03-22,standard,Corruption: EACC probing governors,eacc
2014-03-22,standard,MP wants those found guilty of graft hanged,parliament
2014-03-22,standard,Did firm that printed 213 ballots bribe to get deals?,"smith and ouzman, iebc"
2014-03-24,daily_nation,assembly speaker probed over graft,"eacc, elgeyo marakwet"
2014-03-24,standard,Jubilee Government to curb wastage and stem corruption this is their promise,jubilee
2014-03-26,standard,How crooked MPs stuff pockets with graft cash,parliament
2014-03-28,daily_nation,Moi Girls Eldoret principal in court over graft charges,moi girls' school
2014-03-28,daily_nation,Clinix accuses graft team of shielding NHIF bosses in case,"nhif, clinix"
2014-03-28,standard,Arrest warrant issued against Registrar in bid to curb graft,"kajiado, jonathan koskei"
2014-03-28,standard,Corruption claims mar Jubilee<U+92>s premier project,jubilee
2014-03-29,standard,Jubilee rated below par in fight against graft,jubilee
2014-04-03,standard,Stop graft in police,police
2014-04-04,standard,Graft claims by envoys baseless says Foreign PS,"foreign affairs ministry, karanja kibicho"
2014-04-13,daily_nation,Act on corruption now 18 envoys challenge Uhuru,uhuru
2014-04-13,standard,Residents of Nyeri  move to curb corruption,nyeri
2014-04-16,standard,signs pact with EACC to fight corruption,eacc
2014-04-17,daily_nation,War on graft stepped up says Kinyua,kinyua
2014-04-17,standard,Police officer Corporal David Chumo honoured for rejecting bribe,david chumo
2014-04-18,standard,Kasarani MP corruption charges to continue,"kasarani, mp"
2014-04-30,business_daily,Corruption drug dealings give police sleepless nights,police
2014-05-01,daily_nation,MISIKO: Mugabe was right,"misiko, mugabe"
2014-05-01,daily_nation,Anti-graft agency told to probe Telkom sale,"eacc, telkom"
2014-05-27,standard,Timamy: I'm being crucified for my fight against graft,timamy
2014-06-20,standard,West Pokot: Youth hold demo over alleged graft in police recruitment exercise,"west pokot, police"
2014-07-06,daily_nation,Ethics commission battles graft immorality claims,eacc
2014-07-09,standard,Report graft in hiring TSC urges,tsc
2014-07-11,standard,Man beaten for impersonating police and seeking bribe,police
2014-07-12,standard,IPOA seeks to annul police recruitment over graft claims,ipoa
2014-07-17,business_daily,Court drama over National Bank directors in stolen papers saga,"national bank, court"
2014-07-17,standard,The birth of global anti-graft agency and Githongo link,"githongo, eacc"
2014-07-25,daily_nation,Anti-graft agency wants ward reps to stop unruly conduct,eacc
2014-08-04,daily_nation,WARAH: Corruption  and tribalism have neutered security services,warah
2014-08-07,business_daily,Embu leaders call for audit of co-operatives over corruption,embu
2014-08-08,daily_nation,War on terror corruption will be won Uhuru,uhuru
2014-08-08,daily_nation,NIS <U+91>knew of corruption<U+92> in hiring of police officers,"nis, police"
2014-08-09,daily_nation,Court orders Kulei graft case to proceed,"kulei, court"
2014-08-10,daily_nation,ABDULLAHI: We look East because getting a bribe is easy,"abdullahi, east"
2014-08-15,daily_nation,OKENDO: It's time to re-examine how graft is reported,okendo
2014-08-15,business_daily,Three Nairobi MCAs arrested in Sh28 bribery sting,nairobi
2014-08-16,daily_nation,MPs approve stiffer penalties for graft,parliament
2014-08-17,daily_nation,GSU officers accuse seniors of harassment and corruption,gsu
2014-08-22,standard,Kimaiyo orders  audit on junior officers to check corruption,"kimaiyo, police"
2014-08-23,daily_nation,Anti-graft agency can now lock up suspects,eacc
2014-08-27,daily_nation,WALUBENGO: Will IFMIS really eliminate corruption?,"walubengo, ifmis"
2014-08-27,daily_nation,MPs query bribe claim in court car purchase,parliament
2014-09-03,business_daily,Probe on Sh1m audit bribery claim in Embu commences,embu
2014-09-03,daily_nation,Witnesses bribed says Bensouda,bensouda
2014-09-04,daily_nation,Agency vows to stamp out weighbridge graft,kenha
2014-09-06,standard,Land corruption cannot be exorcised by perpetrators,land ministry
2014-09-10,standard,Nzomo pledges to fight graft boost transparency at TSC,"nzomo, tsc"
2014-09-16,daily_nation,MOMBASA: Bribery at Mombasa Port,"kpa, mombasa"
2014-09-20,standard,GlaxoSmithKline fined <U+A3>297m for bribing doctors into prescribing its drugs,glaxosmithkline
2014-09-25,business_daily,Anti-graft agency disowns Charterhouse probe report,"eacc, charter house"
2014-10-02,standard,Graft tops list of political concerns for East Africa<U+92>s finance bosses,east africa
2014-10-03,standard,Shollei was not named in corruption ring UK says,"uk, shollei"
2014-10-06,business_daily,MUSYOKA: How traffic laws breed graft instead of ensuring order on our,musyoka
2014-10-08,business_daily,Kenya<U+92>s pharmaceutical industry at centre of Sanofi bribery probe,sanofi
2014-10-10,business_daily,Allowances for city askaris aimed at ending corruption,nairobi
2014-10-13,business_daily,CS tracks Sanofi bribery probe of Kenyan doctors,"sanofi, health ministry"
2014-10-24,business_daily,Safaricom fires 56 employees in graft related cases,safaricom
2014-10-30,business_daily,Sonko accused of stealing Sh6m from Makadara,"makadara, sonko"
2014-10-30,daily_nation,KIMEU: style audit will help fight corruption,kimeu
2014-10-31,daily_nation,House defers debate on anti-graft law,parliament
2014-11-01,daily_nation,3  Anti-graft agency arrests 1 traffic officers in Nakuru," nakuru, traffic police"
2014-11-05,standard,Graft watchdog joins Sh5m NCPB case,"ncpb, eacc"
2014-11-08,business_daily,Trial of UK citizens who bribed Kenya examination staff starts,"uk, knec"
2014-11-18,business_daily,KANTAI: We need to re-think Kenyan approach to graft,kantai
2014-11-18,business_daily,UK court exposes bribery ring in Kenya<U+92>s poll agency,"uk, iebc"
2014-11-19,business_daily,UK prosecution of Kenyan graft puts Tobiko under scrutiny,"uk, tobiko"
2014-11-19,daily_nation,KIMANI: Corruption threatens intentions of funds for the marginalised,kimani
2014-11-19,business_daily,Raila demands IEBC chief minister quit over bribery claims,"iebc, raila"
2014-11-19,business_daily,How local agent helped British firm deliver bribes,uk
2014-11-19,daily_nation,Court told exam officials got Sh1m bribes in tender,knec
2014-11-19,daily_nation,Polls boss denies bribery claims in printing tenders,iebc
2014-11-19,standard,Ahmednassir fights Sh5m bribery claims,ahmednasir
2014-11-20,daily_nation,5 Politics UK court exposes corruption ring at Kenya poll agency,"uk, kenya, iebc"
2014-11-20,daily_nation,9 Politics Cord demands IEBC chief's resignation over graft claims,"cord, iebc"
2014-11-20,business_daily,: Probe poll agency Knec bribery allegations,knec
2014-11-20,business_daily,Printer paid Kebs officials Sh3m bribe to sweeten deal,kebs
2014-11-20,daily_nation,Former exams boss denies bribe claim,knec
2014-11-20,standard,KPL AWARDS FURY: Coaches now say list <U+91>doctored<U+92> players told to pay bribes,kpl
2014-11-21,daily_nation,KWALE - Audit reveals Sh83 million at water firm embezzled,kwale water
2014-11-24,daily_nation,Oyombra quizzed over bribes scandal,oyombra
2014-11-26,daily_nation,KISERO : The art of eating chicken and how multinationals export graft to Africa,africa
2014-11-28,business_daily,Chirchir faces ouster over UK bribery claim,"chirchir, uk"
2014-12-04,daily_nation,In Africa what we steal or don<U+92>t steal affects our democracy and security,africa
2014-12-04,daily_nation,NAIROBI: City Hall official<U+92>s accounts frozen in corruption probe,"nairobi, nairobi"
2014-12-05,business_daily,Police Land ministry and the Judiciary top corruption list,"police, land ministry, judiciary"
2014-12-05,standard,Police service highest receiver of bribes shows report,police
2014-12-06,business_daily,How police chiefs used secret account to steal Sh2.8bn,police
2014-12-06,business_daily,Anti-graft agency reviews MPs mileage,"eacc, parliament"
2014-12-06,business_daily,: Tame bribery menace within Kenya Police,police
2014-12-13,daily_nation,DOLAN: Corruption killing maiming Kenyans,dolab
2014-12-15,business_daily,House team refers Karen land saga to anti-corruption agency,"parliament, karen, eacc"
2014-12-15,standard,Tobiko wants EACC to probe bribery claims,"eacc, tobiko"
2014-12-22,standard,Anti-graft team nabs four traffic police in Salgaa Nakuru,"eacc, salgaa nakuru"
2014-12-24,standard,Anti-graft commission probes KAA over Sh39 million parking tender,kaa
2015-01-09,standard,Raila receives report that reveals gross graft in Kisumu county assembly,"raila, kisumu"
2015-01-09,standard,President Uhuru warns civil servants over graft,uhuru
2015-01-21,business_daily,Bensouda: Njee Muturi bribed key ICC witness,"icc, bensouda, njee muturi"
2015-01-23,business_daily,KISERO: Land-grabbing elite drives corruption,kisero
2015-02-07,standard,Graft claims at GDC holding back cheap power Chirchir now warns,"gdc, chirchir"
2015-02-12,standard,Speaker suspends Namwamba team orders probe into graft allegations,"namwamba, speaker"
2015-02-12,standard,Muturi suspends PAC operations orders probe into corruption allegations,"muturi, pac"
2015-02-12,standard,413 bags of fertiliser stolen from NCPB depot recovered in Kinangop village," ncpb, kinangop"
2015-02-19,business_daily,: EACC should cooperate with Ombudsman in graft probe,ombudsman
2015-02-19,standard,Corruption has spiralled under Jubilee government<U+92>s watch,jubilee
