title,poster,field,location,job_type,industry,salary,posting_age,minimum_qualification,experience_length,experience_level,qualification_1,qualification_2,qualification_3,qualification_4,qualification_5,job_summary,job_description
ECommerce Customer Care Representative,"
                                Amanbo KENYA (formerly Right Corporation Co.)
                            ",Customer Service & Support,Nairobi,Full Time,"Retail, Fashion & FMCG","
                        KSh
                    
                    Confidential
                ","
                    4w
                ",Minimum Qualification: Unspecified,Experience Length: 2 years,Experience Level: Entry level,Have more than two years’ experience in the e commerce customer care service position.   ,NA,NA,NA,NA,"
                        Job Summary
                    
                        Provides support to the customers of the E-commerce Order Processing Program.
                    Minimum Qualification: UnspecifiedExperience Level: Entry levelExperience Length: 2 years","Duties and ResponsibilitiesProcesses manual orders through the amanbo.co.ke platform and administers electronic orders when necessary.Answers customer calls and provides resolution for order status, order and product complaints, product return authorization, product information, current pricing to include, and answers questions pertaining to the E-commerce Program.Promptly greets customers via telephone to assist customers with website registration, order processing, product information, pricing, shipping information, and general e-commerce program information.Reviews, accepts and processes manual orders received on amanbo.co.ke and the offline clients who visit two rivers Addresses customer complaints by researching, responding, and following up with customers in a timely manner. Issues are forwarded to supervisor if they cannot be resolved at the immediate level.Judges when specific issues require additional assistance or should be elevated to management. Promptly informs supervisor of customer complaints for resolution.Attending to clients two in and out of the two rivers shop RequirementsHave more than two years’ experience in the e commerce customer care service position.   Note: The interested qualified candidates to submit their up-to-date CV and application letter."
Retail Market & Channel Supervisor,"
                                Amanbo KENYA (formerly Right Corporation Co.)
                            ",Management & Business Development,Nairobi,Full Time,"Retail, Fashion & FMCG","
                        KSh
                    
                    Confidential
                ","
                    4w
                ",Minimum Qualification: Bachelor,Experience Length: 3 years,Experience Level: Mid level,3 years or above experience in Retail Marketing and Channel development,Familiar with Brand Building,Familiar with Brand Building,"3 years or above experiences in Mobile, Electronics, and Digital 3C related industries ",Well with Market research ,"
                        Job Summary
                    
                        Ideal candidate will have 3 years or above experience in Retail Marketing and Channel development preferably in Mobile, Electronics, and Digital 3C related industries 
                    Minimum Qualification: BachelorExperience Level: Mid levelExperience Length: 3 years","Amanbo.co.ke is an international e-commerce platform that focus on Africa & China business trade, this online supermarket provides all categories of goods (such as electronics, constructions, clothing, fashion, entertainment and so on). African merchants and customers can purchase high-quality imported goods at home with the price much lower than the local wholesale market. Merchants can purchase goods in several wholesale price range, customers can also buy goods at a retail price.Position: 1 personWork location: Ronald Ngala Road, RNG PlazaSalary & Welfare: Basic Salary + Performance BonusResponsibilities:Present Ideas to Marketing DirectorOversee BudgetAnalyze Campaign PerformanceReport on Marketing MetricsOffline Retail Channel Exploration and DevelopmentOffline Retail Channel optimization and managementMarketing Activities Planning and Implementation Qualifications: 3 years or above experience in Retail Marketing and Channel developmentFamiliar with Brand Building3 years or above experiences in Mobile, Electronics, and Digital 3C related industries Well with Market research Good with Pitching strategy Collaboration Good with Leadership skills  Note: The interested qualified candidates to submit their up-to-date CV and application letter."
Social Media Marketer,"
                                Amanbo KENYA (formerly Right Corporation Co.)
                            ",Marketing & Communications,Nairobi,Full Time,"Retail, Fashion & FMCG","
                        KSh
                    
                    Confidential
                ","
                    4w
                ",Minimum Qualification: Bachelor,Experience Length: 1 year,Experience Level: Entry level,Proven working experience in social media marketing or as a digital media specialist or e commerce business ,"Excellent consulting, writing, editing (photo/video/text), presentation and communication skills","Excellent consulting, writing, editing (photo/video/text), presentation and communication skills",Demonstrable social networking experience and social analytics tools knowledge,"Adequate knowledge of web design, web development, CRO and SEO","
                        Job Summary
                    
                        Build and execute social media strategy through competitive research, platform determination, benchmarking, messaging and audience identification
                    Minimum Qualification: BachelorExperience Level: Entry levelExperience Length: 1 year","Amanbo.co.ke is an international e-commerce platform that focus on Africa & China business trade, this online supermarket provides all categories of goods (such as electronics, constructions, clothing, fashion, entertainment and so on). African merchants and customers can purchase high-quality imported goods at home with the price much lower than the local wholesale market. Merchants can purchase goods in several wholesale price range, customers can also buy goods at a retail price.Purpose: Online Operator of Social Media Required: 2 personsWorking location: Two Rivers MallSalary & Welfare: Basic Salary + Performance CommissionResponsibilitiesBuild and execute social media strategy through competitive research, platform determination, benchmarking, messaging and audience identificationGenerate, edit, publish and share daily content (original text, images, video or HTML) that builds meaningful connections and encourages community members to take actionSet up and optimize company pages within each platform to increase the visibility of company’s social contentModerate all user-generated content in line with the moderation policy for each communityCreate editorial calendars and syndication schedulesPlanning and Implementing Online & Offline Social Events and Functions for Amanbo Platform promotions. i.e have new ideas on how to promote the platform and be creative to attract more people to join the social medial website Attending to clients in and out of the two rivers shop  RequirementsProven working experience in social media marketing or as a digital media specialist or e commerce business Excellent consulting, writing, editing (photo/video/text), presentation and communication skillsDemonstrable social networking experience and social analytics tools knowledgeAdequate knowledge of web design, web development, CRO and SEOKnowledge of online marketing and good understanding of major marketing channelsPositive attitude, detail and customer oriented  with good multitasking and organizational abilityFluency in EnglishBachelor Degree in Communications, Marketing, Business, New Media or Public Relations or any internet related industries Experience with Products and Marketing Experience.Note: The interested qualified candidates to submit their up-to-date CV and application letter."
Maintenance Manager - Mombasa Road,"
                                Summit Recruitment & Search
                            ",Engineering,Nairobi,Full Time,Manufacturing,"
                        KSh
                    
                    Confidential
                ","
                    4w
                ",Minimum Qualification: Bachelor,Experience Length: 5 years,Experience Level: Mid level,"Develop and Oversee the implementation of
preventive maintenance for all machinery.","Plan and manage stock and supply chain for
spare parts and factory consumables to minimize downtime.","Plan and manage stock and supply chain for
spare parts and factory consumables to minimize downtime.","Regular review an update maintenance protocols
to ensure best practices.","Continually analyse, identify and set
expectations to motivate team members to achieve objective goals.","
                        Job Summary
                    
                        Our Client, a dynamic manufacturing company is seeking to recruit a Maintenance Manager who will be responsible for ensuring that all the equipment in the company’s factory is operating efficiently and safely.
                    Minimum Qualification: BachelorExperience Level: Mid levelExperience Length: 5 years","The ideal candidate Must have over 5 years’ experience working
in a similar role in the manufacturing
sector. Key Responsibilities:Develop and Oversee the implementation of
preventive maintenance for all machinery.Plan and manage stock and supply chain for
spare parts and factory consumables to minimize downtime.Regular review an update maintenance protocols
to ensure best practices.Continually analyse, identify and set
expectations to motivate team members to achieve objective goals.Manage employee training and required
documentation to ensure effective training follow current procedures.Continuously work to prevent and minimize
downtime.Routinely review machinery and electrical
safety to ensure the highest standards are met.Support the planning, installation and
commissioning of new production lines.Identify opportunities for cost-effectively
implementing redundancies.Qualifications:Must have a relevant
bachelor’s degree.Must have
good management skills with a good track record managing a small to mid-sized
team including technical roles.Deep technical
knowledge of motor-driven and hydraulic machinery.Good working knowledge of
electrical control systems.Must have
hands-on experience leading mechanical maintenance in a factory setting.Over 5 years’ experience working in a manufacturing sector.Must have
excellent management skill set passion for supporting the team.Initiative-taker and a problem-solver.Strong
organizational and planning skills.Self-driven,
focused and goal oriented.Must have excellent
interpersonal skills.Monthly Gross Salary: Kshs. 100,000
– 200,000 (Approx. 1000 – 2000 USD) depending on individual skills and
experience. Position Level: Lower Mid-Level.Education: Bachelor’s
Degree.Location: Nairobi,
Kenya.Deadline: 26th
April 2019. We endeavour to make
contact with all of our applicants, but unfortunately high volumes of
applications make this unrealistic. If you do not hear from us within two weeks
your application has not been successful on this occasion. This does not mean
you will not be considered for future roles so please keep an eye on our job
board and apply for positions that match your skills and experience.*** Summit Recruitment & Search, as a policy, does not charge any fee as a pre-employment or post-employment requirement***"
School Bursar - Ruai,"
                                St Joseph Freinademetz Primary School, Ruai
                            ","Accounting, Auditing & Finance",Nairobi,Full Time,Education & Training,"
                        KSh
                    
                    Confidential
                ","
                    4w
                ",Minimum Qualification: Certificate,Experience Length: 2 years,Experience Level: Entry level,Minimum of  CPA I,Computer Literacy; ,Computer Literacy; ,Procurement knowledge  ,Accounting practice in a school is an added advantage.,"
                        Job Summary
                    
                        Applications are invited from qualified persons for the vacant position of School Bursar.
                    Minimum Qualification: CertificateExperience Level: Entry levelExperience Length: 2 years","Requirements:Minimum of  CPA IComputer Literacy; Procurement knowledge  Accounting practice in a school is an added advantage. ONLY the successful applications will be invited for interviews, if you do not hear from us within a week after application, consider your application unsuccessful."
Software Engineering Manager,"
                                Influx Inc
                            ",Management & Business Development,Nairobi,Full Time,Technology,"
                        KSh
                    
                    Confidential
                ","
                    4w
                ",Minimum Qualification: Bachelor,Experience Length: 5 years,Experience Level: Mid level,Prior experience managing large teams (15+ people) in a technology (web development or software engineering) environment,Prior experience managing managers,Prior experience managing managers,Prior experience as a software engineer or web developer,"Ability to get things done, autonomously","
                        Job Summary
                    
                        Influx is seeking to hire a software engineering manager to build a high-performance organisational structure that services Influx’s technology client
                    Minimum Qualification: BachelorExperience Level: Mid levelExperience Length: 5 years","Influx is a fast-growing startup offering a scalable, elastic and turnkey customer support solution for tech companies and ecommerce brands. We're looking to hire a software engineering manager to build a high-performance organisational structure that services Influx’s technology clients. This is a remote position, you’ll be working from home, managing a team of 30-40 web support engineers, supported by a small group of experienced junior managers.  You’ll be working with North American and APAC peers within Influx and servicing clients located all over the world.Success in this role is a combination of client satisfaction, staff satisfaction and financial metrics. What We’re Looking for: Prior experience managing large teams (15+ people) in a technology (web development or software engineering) environmentPrior experience managing managersPrior experience as a software engineer or web developerAbility to get things done, autonomouslyAbility to define roadmaps and accomplish goalsAbility to work with stakeholders in a businessExcellent attention to detailInterest in helping others and being a team playerAbout InfluxOur 24/7 on-demand support service guarantees response times and coverage.  We can troubleshoot and solve customer problems in under one hour, every hour of the week.Our head office is in Melbourne, Australia, and we have around 200 staff located around the globe. Our web clients include advancedcustomfields.com and elementor.com."
Sub-Contractors Wanted for Growing Construction/Repair Business,"
                            Anonymous
                        ",Engineering,Nairobi,Full Time,Construction,"
                        KSh
                    
                    Confidential
                ","
                    4w
                ",Minimum Qualification: Unspecified,Experience Length: 3 years,Experience Level: Mid level,Must have proper license and  tools,Must be good at communication and compassionate with customers.,Must be good at communication and compassionate with customers.,3-5 years maintenance experience in a large complex or multi-site experience.,Responsible for the completion of all maintenance service requests as assigned.,"
                        Job Summary
                    
                        We are currently looking for credentialed sub-contractors to join our team that have the ability to perform typical duties that include interior and exterior building repairs. Assists with maintenance of all building systems, including but not limited to HVAC, Electrical and plumbing systems.
                    Minimum Qualification: UnspecifiedExperience Level: Mid levelExperience Length: 3 years","Responsibilities.General construction (Civil, Partitioning, Renovation, Painting, Plumbing)Electrical installation (power, structured cabling, fire alarm, CCTV and Access control)Mechanical (Power plants, Air-conditioning)Requirements.Must have proper license and  toolsMust be good at communication and compassionate with customers.3-5 years maintenance experience in a large complex or multi-site experience.Responsible for the completion of all maintenance service requests as assigned.Send your application indicating your qualifications, eligibility and competence."
Human Resources and Payroll Administrator,"
                            Anonymous
                        ",Human Resources,Nairobi,Full Time,"Retail, Fashion & FMCG","
                        KSh
                    
                    Confidential
                ","
                    4w
                ",Minimum Qualification: Bachelor,Experience Length: 3 years,Experience Level: Mid level,"Excellent written and verbal communication
skills","Strong working experience with accounting
systems.","Strong working experience with accounting
systems.","3 – 5 experience working with Wages and
Salaries payrolls","Experience - Working with both hourly daily
and salaried individuals","
                        Job Summary
                    
                        This is an excellent opportunity for an intelligent, highly organized and successful professional with experience. The ideal Payroll Administrator will be able to process payroll for up to 50 employees.
                    Minimum Qualification: BachelorExperience Level: Mid levelExperience Length: 3 years","Key Responsibilities;Perform daily payroll department operationsUpdate human resource database and generate
routine reportsPlace recruitment adverts and conduct basic
surveysReview company HR policies and make
recommendationsProcess salaries and wagesManage PAYE Tax Returns within the legal
deadlinePerform payroll deductions and
reconciliation of Payroll Accounts. Role Requirements;Excellent written and verbal communication
skillsStrong working experience with accounting
systems.3 – 5 experience working with Wages and
Salaries payrollsExperience - Working with both hourly daily
and salaried individualsOnly shortlisted candidates shall be
contacted."
Part Time/ Full Time Sales Trainer,"
                            Anonymous
                        ","Research, Teaching & Training",Nairobi,Full Time,"Retail, Fashion & FMCG","
                        KSh
                    
                    Confidential
                ","
                    4w
                ",Minimum Qualification: Bachelor,Experience Length: 5 years,Experience Level: Mid level,At least 5 years’ experience in sales with a proven track record and experience in teaching sales techniques to others.,Minimum 3 years of outside sales experience; Sales Management experience a plus.,Minimum 3 years of outside sales experience; Sales Management experience a plus.,"Experience coaching sales professionals including field work, participating in sales calls, role play, mock pitches, etc.","Demonstrated presentation and facilitation skills before large groups, preferably in a classroom setting.","
                        Job Summary
                    
                        We are looking for an experienced sales trainer  to train our new sales team and to equip them with required key sales skills to enable them to perform and excel in sales.
                    Minimum Qualification: BachelorExperience Level: Mid levelExperience Length: 5 years","Duties and Responsibilities:Design, develop and deliver comprehensive sales training programs, encompassing in house, web based and self-study modules leading to robust knowledge level and continuous improvement.Partner with management and sales team members to identify sales training needs and work collaboratively to develop strategies to meet targeted needs with the goal of increasing sales proficiencies and productivity.Partner with management to design and implement reinforcement of training after formal training time.Conduct “Train the Trainers” sessions, when applicable.Identify creative and technologically enhanced ways to transfer information and knowledge to geographically dispersed sales force.Evaluate Sales Associates performance during training and  provide productive feedback.Facilitate the learning process via workshops, one-on-one coaching sessions, and written communications to ensure sales associates are competent in the areas of sales fundamentals, consultative selling, product knowledge, compliance, presentation skills, customer service, and communicating the value of the brand.Develop and execute project plans, timelines, milestones and key measures for assigned deliverables and communications of designated program/projects.Evaluate Sales Associates performance during training and field visits and provide feedback, making suggestions for improvement.Maintain high degree of relevance by staying current on the latest sales trends and innovations.Other relevant duties and responsibilities as assigned.Education and Experience Requirements:At least 5 years’ experience in sales with a proven track record and experience in teaching sales techniques to others.Minimum 3 years of outside sales experience; Sales Management experience a plus.Experience coaching sales professionals including field work, participating in sales calls, role play, mock pitches, etc.Demonstrated presentation and facilitation skills before large groups, preferably in a classroom setting.Experience developing training programs adjusted to all audience levels from entry-level sales to executive management.  Ability to work cross-functionally to set objectives for continuous improvement of customer engagement skills and core competencies.Strong proficiency with Microsoft Office Suite for producing reports and presentations.Strong oral and written communication skills, excellent cognitive reasoning, analytical, planning, and process development skills, strong business judgment and high level of initiative desired.Must have excellent attention to detail, and the ability to manage multiple projects simultaneously while balancing deadlines and priorities.Ownership of a recruitment agency with a traceable record will be advantageousStrong Communication Skills – Both written and spokenWorking experience in a start-upExperience in leading a teamThorough understanding of the sales process, preferably with customer service experienceIf you are up to the challenge, please submit your CV and cover letter."
IT Support Assistants,"
                                Emac Consultants
                            ",IT & Software,Nairobi,Full Time,Recruitment,"
                        KSh
                    
                    Confidential
                ","
                    4w
                ",Minimum Qualification: Certificate,Experience Length: 1 year,Experience Level: Mid level,Marketing company IT products,"Sale products on behalf of the
     company","Sale products on behalf of the
     company",Install softwares to clients,"Maintain and monitor installed
     systems","
                        Job Summary
                    
                        Marketing as well as installing customized softwares to clients.
                    Minimum Qualification: CertificateExperience Level: Mid levelExperience Length: 1 year","Main
Responsibilities:The IT Support Assistants will work in
control of company Software developers to meet client’s needs. Responsibilities shall include: Marketing company IT productsSale products on behalf of the
     companyInstall softwares to clientsMaintain and monitor installed
     systemsEnsuring service-affecting
     incidents are immediately resolved or escalated to the Software Engineers Installation of networks for
     clientsCoordinating planned
     maintenance work. Communicating with stakeholders
     at key times to ensure that work is proceeding according to the agreed
     schedule. Communicating effectively with
     IT team when handling escalated issues. Required
Skills, Experience and Attributes:Certificate in ITExperience in Advanced
     ms-accessExperience in managing computer
     systems in windows environments Strong interpersonal and
     leadership skills. Ability to make and act on
     decisions when under pressure. Self-managed and can work
     unsupervised. Excellent analytical and
     troubleshooting skills with high attention to detail. Concise written and verbal
     communication skills. Quick learner. "
Accountant,"
                                Flex Communications Limited
                            ","Accounting, Auditing & Finance",Nairobi,Full Time,Technology,NA,"
                    4w
                ",Minimum Qualification: Bachelor,Experience Length: 2 years,Experience Level: Entry level,"Ensure the organization complies
with local financial statutory requirements by studying existing and new
legislation, enforcing adherence to requirements.","Maintains customer confidence and
protects operations by keeping financial information confidential.","Maintains customer confidence and
protects operations by keeping financial information confidential.","Accomplishes the result by performing the duty.
Contributes to team effort by accomplishing related results as needed.","Maintains
accounting controls by preparing and recommending policies and procedures. ","
                        Job Summary
                    
                        A Senior Accountant with at least 2-3 years experience.
                    Minimum Qualification: BachelorExperience Level: Entry levelExperience Length: 2 years","Ensure the organization complies
with local financial statutory requirements by studying existing and new
legislation, enforcing adherence to requirements.Maintains customer confidence and
protects operations by keeping financial information confidential.Accomplishes the result by performing the duty.
Contributes to team effort by accomplishing related results as needed.Maintains
accounting controls by preparing and recommending policies and procedures. Responsible for holding manufacturing plant
     management accountable for accuracy and timeliness of inventory controls
     and cost controls.Assist with annual budgets – prepares all
     allocations;Coordinate monthly closing process and
     reconciliation of general ledger accountsQualifications:Good knowledge of generally accepted
accounting practices and principlesGood knowledge of economic principles Good knowledge of auditing practices and
principles Good knowledge of applicable laws, codes and
regulations Good knowledge and experience of accounting
computer applications At least 2-3 years minimum experience in the
management of financial systems and budgets, financial reporting, Good knowledge  financial
data analysis, auditing, taxation and providing financial advice preferably 1-2
years in FMCG
At least CPA - K or
     equivalent.
2 years experience in
     book keeping in a busy accounting office.
Competency in MS
     Office and accounting software such as Quick-books. 
Accuracy and
     attention to detail."
Depot Manager,"
                                Summit Recruitment & Search
                            ",Supply Chain & Procurement,Nairobi,Full Time,Energy & Utilities,NA,"
                    4w
                ",Minimum Qualification: Bachelor,Experience Length: 5 years,Experience Level: Management level,"Plan for stock
availability","Coordinate stores
operations.","Coordinate stores
operations.","Inspect store hygiene and
cleanliness.","Report on stocks and
transport.","
                        Job Summary
                    
                        Our client, a distributor of commercial gas is looking to recruit a Depot Manager based in their plant along Southern Bypass, Dagorreti Road. The ideal candidate must have experience working in working with in a similar position in oil/Gas industry.
                    Minimum Qualification: BachelorExperience Level: Management levelExperience Length: 5 years","Key
Responsibilities:Plan for stock
availabilityCoordinate stores
operations.Inspect store hygiene and
cleanliness.Report on stocks and
transport.Maintain the attendance
register for depot staff.The incumbent is expected
to provide measurable input to the depot business strategy within the limits of
the role   Modifying systems,
practices and approaches while also influencing working methods.Ensures a cost-efficient
operation in excess of current best practicesProvides the leadership
and direction for the depot operations.Liaises closely with
shipping companies, trucking companies, port authorities, and other statutory
authorities to ensure that their requirements are met.Liaises closely with
vendors, suppliers, external consultants, etc to ensure that divergent
deliverables are met as required by the terminal. Qualifications:
Bachelors’
Degree in Supply Chain Management, Materials Management or Business-related
field.Diploma
in Procurement or Materials Management.Understanding
of the transport industry and an ability to relate with the shipping company
and other associated industry managers.Good
communication skills with the ability to communicate across the organization.Extensive
understanding of modern terminal operations including computer terminal
management systems.Extensive
knowledge of Container Terminals operational practices.Experience
in finance-related matters, setting budgets and reporting against financial
objectives.Effective
negotiation and conflict resolution skills.Ability
to provide leadership, obtain cooperation and assistance to meet objectives. Monthly Gross Salary: Kshs. 150,000
– 200,000 (Approx. 1500 – 2000 USD) depending on individual skills and
experience.Deadline: 25thApril 2019.Job Category: Lower Mid-Level.Job Location: Dagoretti, Kenya. We endeavor to make
contact with all of our applicants, but unfortunately high volumes of
applications make this unrealistic. If you do not hear from us within two weeks
your application has not been successful on this occasion. This does not mean
you will not be considered for future roles so please keep an eye on our job
board and apply for positions that match your skills and experience.*** Summit Recruitment
& Search, as a policy, does not charge any fee as a pre-employment or
post-employment requirement***"
Finance Manager,"
                                Summit Recruitment & Search
                            ","Accounting, Auditing & Finance",Nairobi,Full Time,Energy & Utilities,NA,"
                    4w
                ",Minimum Qualification: Bachelor,Experience Length: 3 years,Experience Level: Mid level,"To provide comprehensive
financial and management accountancy services.","Develop and maintain
management reporting.","Develop and maintain
management reporting.","Responsible for
receipting and banking of Company Cheques.","Responsible for Bank
reconciliations.","
                        Job Summary
                    
                        Our client, a distributor of commercial gas is looking to recruit a Finance Manager to based along Southern Bypass, Dagorreti Road. The ideal candidate must have experience working in a distribution of quantity in High volume e.g. manufacturing. He/she must be proficient in QuickBooks.
                    Minimum Qualification: BachelorExperience Level: Mid levelExperience Length: 3 years","Key
Responsibilities:To provide comprehensive
financial and management accountancy services.Develop and maintain
management reporting.Responsible for
receipting and banking of Company Cheques.Responsible for Bank
reconciliations.Develop and manage
planning reports for the management team.Prepare, highlight trends
and distribute monthly financial reports.Take responsibility for
the preparation and payment of salaries to all staff.Ensure compliance with
all relevant tax and employment regulations.Ensure all local
statutory requirements are fulfilled on time and in full.Actively work with the
management team to develop efficient and controlled workflow. Qualifications:
Must have a relevant bachelor’s degree.Must be a CPA (K) or ACCA Finalist.Uncompromising
integrity and ethical standards.Must have
excellent management skill set passion for supporting the team.Must have strong
analytical skills.Initiative-taker,
problem-solver and a quick learner.Self-driven, focused and goal oriented.Must have
excellent interpersonal skills. Monthly Gross
Salary: Kshs. 100,000
– 150,000 (Approx. 1000 – 1,500 USD) depending on individual skills and
experience. Deadline: 25th April 2019.Job Category: Lower Mid-Level.Job Location: Dagoretti, Kenya. We endeavor to make
contact with all of our applicants, but unfortunately high volumes of
applications make this unrealistic. If you do not hear from us within two weeks
your application has not been successful on this occasion. This does not mean
you will not be considered for future roles so please keep an eye on our job
board and apply for positions that match your skills and experience.*** Summit Recruitment
& Search, as a policy, does not charge any fee as a pre-employment or
post-employment requirement***"
Front Office Administrator,"
                                Summit Recruitment & Search
                            ",Administrative & Office,Nairobi,Full Time,Energy & Utilities,"
                        KSh
                    
                    Confidential
                ","
                    4w
                ",Minimum Qualification: Bachelor,Experience Length: 1 year,Experience Level: Entry level,"Ensure reception area is tidy and
presentable, with all necessary stationery and material. Monitor office
supplies, place orders when necessary and keep inventory of stock.","Provide outstanding services and
ensure customer satisfaction.","Provide outstanding services and
ensure customer satisfaction.","Address customer concerns and
complaints promptly and professionally.","Receive letters, packages etc. and
distribute them.","
                        Job Summary
                    
                        Our client, a distributor of commercial gas is looking to recruit a Front Office Administrator to be based in their plant along Southern Bypass, Dagoretti Road. The ideal candidate must have at least 1-year experience in a similar position.
                    Minimum Qualification: BachelorExperience Level: Entry levelExperience Length: 1 year","Key
Responsibilities:Ensure reception area is tidy and
presentable, with all necessary stationery and material. Monitor office
supplies, place orders when necessary and keep inventory of stock.Provide outstanding services and
ensure customer satisfaction.Address customer concerns and
complaints promptly and professionally.Receive letters, packages etc. and
distribute them.Answer telephone and email enquiries,
using an email system (e.g. Outlook).Create and maintain filing and other
office systems.Schedule and attend meetings, create
agendas and take minutes.Liaise with staff in other
departments and with external contacts.Take up other duties as assigned
(travel arrangements, schedules etc.).Perform other clerical receptionist duties
such as filing, photocopying, scanning and printing. Qualifications:Relevant Bachelor’s
Degree.Must have a minimum of
1 year in a similar.Excellent
organizational and multi-tasking abilities.Familiarity with
office management procedures.Must be energetic, people’s
person, creativity and resourceful.Must have worked in a
multi cultured environment.An ability to
remain calm under extreme pressure.Great attention to
detail and a team player.Outstanding
communication and interpersonal abilities. Monthly
Gross Salary: Kshs. 20,000 – 25,000 (Approx. 200 – 250 USD) depending on
individual skills and experience.Career Level:  Junior Level.Education: Bachelor’s Degree.Location: Dagoretti, Kenya.Deadline: 25th
April 2019. We
endeavour to make contact with all of our applicants, but unfortunately high
volumes of applications make this unrealistic. If you do not hear from us
within two weeks your application has not been successful on this occasion.
This does not mean you will not be considered for future roles so please keep
an eye on our job board and apply for positions that match your skills and
experience.***
Summit Recruitment & Search, as a policy, does not charge any fee as a
pre-employment or post-employment requirement***"
Debt Collection Agent,"
                                4G Capital (4th Generation Capital)
                            ",Administrative & Office,Nairobi,Full Time,"Banking, Finance & Insurance","
                        KSh
                    
                    Confidential
                ","
                    4w
                ",Minimum Qualification: Diploma,Experience Length: 2 years,Experience Level: Entry level,2 years’ work experience in debt collection,"Experience in microfinance, bank or any financial institution","Experience in microfinance, bank or any financial institution",A good level of general education- Diploma or degree,Computer literacy,"
                        Job Summary
                    
                        The Debt Collection Agent to contact defaulting customers by calling and visiting them with an aim of negotiating settlement of the arrears
                    Minimum Qualification: DiplomaExperience Level: Entry levelExperience Length: 2 years","4G Capital (4th Generation Capital) is Africa’s fastest fintech providing ethical credit services to those who require it most. We provide rapidly accessible and affordable unsecured loans with strict affordability criteria to prevent unmanageable debt. Our customers are mainly small businesses and entrepreneurs who use our credit to grow their businesses and provide for the unforeseen.We seek to recruit a Debt Collection AgentResponsibilitiesEnsure all work queues are acted upon.Contact defaulting customers by calling and visiting them with an aim of negotiating settlement of the arrearsEnsure allocated accounts are monitored on a daily basis and appropriate actions taken to ensure that the collection portfolio remains within accepted limits through the application of sound credit judgment within policy guidelines.Investigate and resolve any customer queries and complaints through verbal or written correspondence in line with 4G policies.Achieve the monthly collection targets.Identify and escalate deceased or disabled customers to collections management for review or collection termination.Perform field visits and submit reports/action plans to recover debt.Work closely with the units and the call centre on the bad debt portfolioOther duties include:Conduct field visit assessment before visiting the market areas.Manage relationships with local authorities and Security Officers.Plan and organize field collection drives across all branches.Flag BFCs to be forwarded to the EDC for actionRequirements2 years’ work experience in debt collectionExperience in microfinance, bank or any financial institutionA good level of general education- Diploma or degreeComputer literacyEducation background in sales/MarketingKey CompetenciesCustomer HandlingSales and Business DevelopmentEnforcement of contract and repayment obligationsAdministrative SupportGeneral support to all tasksCommunicationsSmall Branch OperationsInformation CollectionPersonal AttributesIntegrity and ability to work in consumer financeHigh MotivationSelf starter-functional problem solverProcess discipline- Ability to follow SOPsIdeal candidate should possess strong negotiation and persuasion skills"
Head of HR / Internal Audit,"
                                Unity West Limited
                            ",Human Resources,Nairobi,Full Time,Construction,"
                        KSh
                    
                    Confidential
                ","
                    4w
                ",Minimum Qualification: Bachelor,Experience Length: 5 years,Experience Level: Mid level,Degree in HR,Professional certificate and member of IHRM with current practising certificate,Professional certificate and member of IHRM with current practising certificate,Experience in an HR position for 5 years.,Experience with implementing and tracking personnel KPI’s.,"
                        Job Summary
                    
                        Required qualifications for the role include a Degree in HR; Professional certificate and member of IHRM with current practising certificate; experience in an HR position for 5 years.
                    Minimum Qualification: BachelorExperience Level: Mid levelExperience Length: 5 years","Company ProfileLocated at the heart of TATU City growth hotspot, the Unity West estate offers both superior standards of living for residents and a lucrative investment opportunity for owners.Reporting to:  Executive DirectorKey RolesDay to day handling of staff matters.Dealing with labour issues and labour courts as they arise.Preparing and implementing HR manual.Preparing and rolling out of HR policies and procedures.Preparing and tracking Key Performance Indicators of personnelInvolved in the process of performance reviews for personnelApproving job descriptions and advertisementsOrganising staff training sessions and activitiesMonitoring staff performance and attendanceAdvising line managers and other employees on employment law and the employer's own employment policies and proceduresHeading internal audit departmentAssess whether internal controls are sufficient and working as intended and operating procedures are efficient and complete.Determine whether the organization is meeting the goals and objectives as defined by senior leadershipEnsure that the organisation is complying with relevant laws and statutesIdentify shortfalls and gaps in processesInvestigate fraudCommunicate the findings and recommendations RequiredDegree in HRProfessional certificate and member of IHRM with current practising certificateExperience in an HR position for 5 years.Experience with implementing and tracking personnel KPI’s.Familiarity with the national labour lawsExperience in a senior human resources role covering all processes of HR and ability to interact with senior leadership teamBasic accounting or internal audit experience.Salary: Competitive salary based on qualification and experience."
