"title","date_posted","deadline","poster","field","location","job_type","industry","minimum_qualification","experience_level","responsibilities","qualifications","benefits","application_method"
"PR,Communication and Digital Marketing Interns",2019-04-29,NA," Cytonn Investments","Graduate Jobs / Internships  
Media / Advertising / Branding  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ",NA,"
Research and develop skills in digital marketing & strategies optimization with a Cytonn centric approach.
Develop digital marketing strategy, gather requirements, create requirement documents and launch campaigns.
Monitor & analyze data from online programs to optimize strategies through the customer lifecycle.
Work across teams to create appealing and effective campaigns, communicating effective marketing concepts through articulate copy, design and metrics.
Manage and execute various tests and campaigns via marketing tools across digital. Liaise with digital agencies and other related digital vendors.
Develop content strategies – video scripts, blog content, social media content and campaigns content & execute.
Manage the firm’s social media platforms.
Collaborate with internal teams to create content for digital platforms.
Any other duties as may be prescribed from time to time
","
Knowledge of consumer marketing with a focus on developing/optimizing digital marketing programs & strategies.
Knowledge of a range of marketing channels, including mobile, online and direct marketing.
Knowledge of split testing methodologies in marketing with excellent reporting capabilities.
Ability to research best practices, report on competitive activities, deliver strategic recommendations and implement appropriately.
A highly self-driven individual with creative thinking skills and high energy.
Sound familiarity with audio recording, videotaping, editing and digitizing raw footage.
Proficiency with analogue & digital editing systems and general production.
Outstanding capabilities on working on multiple assignments simultaneously.
Demonstrate passion for social media usage, management and learning.
Proven verbal, written and presentation communication skills.
Basic knowledge of HTML and web editing is a plus.
KCSE grade B+ and above.
Graduated or will graduate with at least a second class upper honours from university.
",NA,"Interested and qualified? Go to Cytonn Investments career website on careers.cytonn.com to apply"
"Internal Auditor",2019-04-29,2019-05-10," KUSCCO Ltd","Finance / Accounting / Audit  ","Nairobi","Full Time"," Banking / Financial Services","BA/BSc/HND   ","
5 years ",NA,"
A Business related/ Bachelor’s degree or its equivalent from a recognized university and CPA (K) or its equivalent or a CPA (K) and has satisfactorily served as an Accountant/ Internal Auditor in the Society or a comparable position with similar responsibilities in a Sacco or in a similar organization for a minimum period of 5 years.
CISA will be an added advantage.
Be registered with ICPAK
5 years of relevant experience.
",NA,"Interested candidates meeting the above requirements should apply online following the two (2) step procedure below;"
"Human Resources Manager",2019-04-29,NA," Sokowatch","Human Resources / HR  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
5 years ","
Developing and implementing HR policies and procedures
Overseeing all company recruitment efforts, including writing and placing job descriptions
Planning, organizing and managing all HR activities across each market
Contributing to the development of the HR goals, objectives and support systems
Overseeing employee review process
Performing benefits administration
Maintaining department reports and records
Maintaining company directory and organizational charts
Revising and compiling all company policies into company handbook
","
5+ years of human resource management, preferably in a retail company with East African operations
5+ years managing cross cultural teams
Degree in Human Resources or Business Administration
Strong interpersonal skills and an ability to develop strong working relationships
A hands-on learner with integrity and a desire to work in a dynamic, fast paced, start-up environment
Fluency in English (both oral and written) and the ability to communicate with sophistication within a business setting.
",NA,"Use the email(s) below to apply."
"Head of Product",2019-04-29,NA," Sokowatch","ICT / Computer  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,"
Oversee the design and implementation of all new product features across Sokowatch’s app and web systems
Interface with all users of Sokowatch’s systems to constantly improve the usefulness of our technology
Manage agile feature development of Sokowatch’s engineering team to ensure feature requests and bugs are prioritized and developed to agreed scope
Conduct hands-on customer research to clearly understand the value proposition and services needed to drive retailer growth
Ensure feature developments are aligned with business requirements and result in seamless customer and user interfaces.
Provide feature implementation support to train and direct the operations teams to deliver on upgraded services
Closely track KPIs of products to ensure continuous improvement
Ensure adherence to risk and compliance for all products
","
3+ years of leadership experience in product development for users in emerging markets.
Excellent project management skills with a proven ability to design and implement product strategy that drives business results.
Strong communicator with the ability to provide both technical feedback and clarify user needs
Ability to understand complex business problems, effectively handle ambiguity and manage change.
Positive attitude, responsible approach and a self-starter that’s not afraid to dive in.
A proven strategic and innovative bent with an equally strong operational focus.
Fluency in English (both oral and written) and the ability to communicate with sophistication within a business setting.
Bonus: experience coding web & app systems, ability to speak Swahili/French
",NA,"Use the email(s) below to apply."
"Head of Supply Chain",2019-04-29,NA," Sokowatch","Procurement / Store-keeping / Supply Chain  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
5 years ","
Implement improved inventory controls
Track supply levels to prevent shortages and overstocking
Prepare purchase orders and record deliveries to update inventory
Create detailed reports on inventory operations, stock levels, and adjustments
Perform analyses to predict potential inventory problems
Provide analysis that supports negotiations with suppliers
Manage and train warehouse staff across all our African offices
","
Minimum five years experience in a similar role.
Extensive knowledge of data analysis, inventory management software, and forecasting techniques.
An analytical mind with strong attention to detail.
Outstanding organizational and problem-solving skills.
Excellent communication and leadership abilities.
Bachelor’s degree in Business Administration, Finance or relevant field.
",NA,"Use the email(s) below to apply."
"Trade Marketing Manager - Traditional Trade",2019-04-29,NA," Colgate-Palmolive","Sales / Marketing  ","Nairobi","Full Time"," Manufacturing / Production / FMCG","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to Colgate-Palmolive career website on jobs.colgate.com to apply"
"Medical Representative",2019-04-29,NA," Novartis","Sales / Marketing  ","Nairobi","Full Time"," Pharmaceuticals","BA/BSc/HND   ",NA,"
To achieve agreed contact, coverage and frequency targets through face to face interactions and meetings, and deliver agreed customer centric activities within operating budget.
Develop and apply understanding of customer organizations and networks and of diverse influences that affect customer decisions (e.g. peer relationships)
Execute call plans for customers, including medical experts from customer or academic communities; calls on the right person to deliver the right message with the right frequency.
Adapt and optimize approach and communications style during sales calls, responding appropriately to customer needs.
Make effective use of available technologies and channels to support sales calls.
To promote defined Novartis products according to campaign briefs and policies.
Ensure that Novartis products and supporting services are broadly understood and available to more patients and customers.
Use expert knowledge of Novartis products and of a range of therapy areas to build professional customer relationships and to support sound clinical discussions.
Use detailed knowledge of competitor products’ features and benefits during sales calls to improve sales of Novartis products.
Seek and obtain clinic/hospital formulary listing for Novartis products where appropriate
To develop thought-leaders and speakers, conduct promotional programs and represent and promote Novartis as a leader in the assigned therapeutic area.
To ensure outstanding personal and team knowledge, and understanding of Novartis priority products, technical information, product strategy, positioning, key messages and programs.
Effective administration of territory business including, maintenance of high quality record systems, daily communication with administrative systems and timely processing of territory business expenses.
Analyze and report on sales, monthly plans, call activity on a monthly basis
Effective communication with territory colleagues and relevant members of other teams, in order to understand, maximize and drive territory.
Works effectively with other Novartis stakeholders and with resources in Sales and across other functions (e.g. MSL, KAM) to achieve sales targets
",NA,NA,"Interested and qualified? Go to Novartis career website on sjobs.brassring.com to apply"
"Chief Technology & Innovations Officer",2019-04-29,NA," Village Enterprise","ICT / Computer  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
9 years ",NA,NA,NA,"Interested and qualified? Go to Village Enterprise career website on www.linkedin.com to apply"
"Monitoring Evaluation Accountability and Learning(MEAL) Intern",2019-04-29,NA," Save the Children","Graduate Jobs / Internships  
Research / Data Analysis  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,"
University degree in any field of social development
Prior training in Monitoring, Evaluation, Accountability and Learning and Knowledge Management
Strong written and verbal communication skills in English
Demonstrated interpersonal skills, including the ability to collaborate effectively in networks and communities of practice
Computer literacy (MS Word, Excel, Access, and Power Point)
",NA,"Interested and qualified? Go to Save the Children career website on www.aplitrak.com to apply"
"Principal Engineer, Server Side",2019-04-29,NA," Koko Networks","Engineering / Technical  ","Nairobi","Full Time"," ICT / Telecommunication","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to Koko Networks career website on hire.lever.co to apply"
"Head Of Communications",2019-04-29,2019-05-17," icipe – African Insect Science for Food and Health","Media / Advertising / Branding  ","Nairobi","Full Time"," Research","BA/BSc/HND   ",NA,"
Provide leadership and coordination for all communication activities of the Centre, to enhance icipe’s
visibility and credibility as a centre of excellence, by: (i) supporting the development and implementation of a comprehensive communications strategy (as well as coaching research and support staff on the implementation of the communications strategy), and (ii) raising the profile of icipe’s corporate brand, programmes, projects and individual researchers.
Strengthen and diversify icipe’s communications products, by reviewing the adequacy of icipe’s current communication materials and recommending improvements.
Oversee the design and production of icipe’s publications (including press releases, corporate reports, brochures, training materials, newsletters, social media posts, and website).
Provide communication/information advice and assistance to icipe teams, helping them to meet their visibility obligations to donors and partners, either by doing the work required or by contracting the work to consultants.
Share icipe’s work in local and international media, by meeting our obligations to donors, collaborating with partners and stakeholders, and bringing the results of our research to those who might benefit from it.
Ensure effective and appealing internal communication on icipe business, relevant topics, strategies and management decisions (through internal bulletins, intranet and meetings, and organising workshops, seminars, exhibitions and employee functions in liaison with the management team).
Ensure that employees know and respect crisis communication preparedness and communication procedures
Establish and manage an annual budget for communication functions in a responsible and cost effective manner.
Be accountable for all local and international communication activities of the Centre, including advocacy and liaison activities with organisations that share similar interests.
","
Knowledge of media advertising and publishing is essential.
Highly proficient in both spoken and written English. Knowledge of oral and written French is an added advantage.
Computer proficiency particularly in MS Office Suite, and familiarity with desktop publishing and spreadsheet software is essential.
Familiarity with Apple Macintosh computers is an added advantage.
",NA,"Applications will be accepted up to 17th May 2019. Shortlisting is ongoing. Interested applicants should submit: (a) a confidential cover letter; (b) detailed CV with names and addresses of 3 referees (including e-mail addresses, fax numbers); and (c) a statement illustrating suitability against the listed qualifications/competencies/ abilities and skills."
"Human Health Head",2019-04-29,2019-05-17," icipe – African Insect Science for Food and Health","Medical / Health  ","Nairobi","Full Time"," Research","BA/BSc/HND   ",NA,"
Work in collaboration with the icipe leadership team, including the Director General, Director of Research and Partnerships (DRP) and Heads of Themes and Units, to undertake and facilitate research and capacity building activities across the Centre;
Lead and spearhead the development of a coherent vision for the HH Theme;
Organise a Theme structure to cost-effectively utilise resources to meet icipe’s research, capacity and institutional building needs;
Guide programme/project leaders within the Theme to ensure timely preparation of the Theme’s annual work-plans, budgets, and scientific and technical reports for donors;
Ensure Theme members continually update skills and methodologies, to keep up with global cutting-edge knowledge;
Promote and establish collaborative linkages with national, regional and international institutions in the relevant fields of research of the Theme;
Actively seek and secure external support for the activities of the Theme, including resources to develop and grow a personal research portfolio;
Manage and develop the staff of the Theme to create and foster a culture of science excellence and to ensure the Theme has the human resources required now and into the future;
Facilitate peer-review of the performance of Theme members;
Initiate periodic reviews of the performance of the HH Theme, to ensure relevance and quality;
Act as a spokesperson and representative of the Theme;
Ensure the Theme meets its legal and reporting responsibilities to all stakeholders, including national licensing authorities and donors.
","
PhD degree in medical or veterinary entomology, or a relevant field, from a reputable university.
Ten (10) years’ experience gained at a senior level in either a research organisation or university.
Excellent research and publication track record.
Experience with downstream work that ensures impact through partnerships.
Experience in capacity building through supervision and mentorship of MSc and PhD students.
Excellent communication skills.
",NA,"Applications will be accepted up to 17th May 2019. Shortlisting is ongoing. Interested applicants should submit: (a) a confidential cover letter; (b) detailed CV with names and addresses of 3 referees (including e-mail addresses, fax numbers); and (c) a statement illustrating suitability against the listed qualifications/competencies/ abilities and skills."
"Head Of Finance",2019-04-29,2019-05-17," icipe – African Insect Science for Food and Health","Finance / Accounting / Audit  ","Nairobi","Full Time"," Research","BA/BSc/HND   ",NA,"
First, provide overall supervision of the processes of recording, classifying and summarising financial transactions and interpreting the results, ensuring that all transactions of the Centre are recorded, and that supporting original documentation for all transactions is easily accessible. Second, provide necessary approvals for transactions and processes within set policies. Third, provide custodianship to all financial policies and procedures.
Ensure continuous development and improvement of all supporting financial and management information systems for the Centre, ERP systems, project costing, and mapping of accounts and analysis codes.
Ensure that effective internal controls are in place to safeguard financial assets of the Centre, and that records systems are maintained in accordance with generally accepted accounting standards.
Ensure compliance with all applicable financial regulatory laws and rules for financial reporting in all jurisdictions where the Centre operates.
Oversee the coordination and activities of independent external auditors for the Centre and project audits, ensuring that all compliance issues are met and that the preparation of annual financial statements is in accordance with both the Centre’s standards and international standards.
Oversee the preparation of periodic financial statements, financial management reports, cash flows, special analyses, and information reports for use by the Budget holders, Centre’s Senior Management Committee (SMC) and Governing Council Members. Equally important, ensure that the finance unit meets all its financial reporting requirements—statutory, management and contractual—on a timely basis.
Establish and maintain strong relationships with programme/project managers, identify their needs, and deliver enhanced business solutions. Provide support to other business support units in financial related matters. Additionally, provide recommendations to strategically enhance financial performance and opportunities. Analyse costs and expenses and guide programme/project managers, as well as analyse financial statements to pinpoint trends and potential problem areas.
Analyse cash flows, monitor banking activities, oversee the management investments in line with set policies, to ensure adequate cash flow to meet the Centre’s needs and optimisation of investments held.
Represent the Centre externally to various stakeholders, e.g. governments and funding agencies.
Serve on tender, planning and policy-making committees.
Recruit, train, supervise, and evaluate Finance Unit staff.
Play a key role in the development of the Centre’s enterprise resource planning (ERP) system.
","
A master’s degree in finance or accounting.
Ten (10) years of experience in a senior-level finance and accounting position. § Professional accounting qualification – CPA, ACCA, CA, or similar accreditation.
",NA,"Applications will be accepted up to 17th May 2019. Shortlisting is ongoing. Interested applicants should submit: (a) a confidential cover letter; (b) detailed CV with names and addresses of 3 referees (including e-mail addresses, fax numbers); and (c) a statement illustrating suitability against the listed qualifications/competencies/ abilities and skills."
"Office Administrator",2019-04-29,2019-04-30," Anti-Counterfeit Agency","Administration / Secretarial  ","Nairobi","Full Time"," Government","BA/BSc/HND   ","
3 years ",NA,"
Served in the grade of Chief Assistant Office Administrator, for a minimum period of three (3) years;
Bachelors’ degree in secretarial studies or bachelor of business and office management from a recognized institution.ORBachelors’ degree in social sciences plus a Diploma in Secretarial Studies from a recognized institution.
Certificate in secretarial management course lasting not less than three (3) weeks from Kenya school of government or any other recognized institution;
Certificate in senior management course lasting not less than four (4) weeks from a recognized institution;
Certificate in computer applications from a recognized institution;
Demonstrated professional competence in management of office and administrative services.
",NA,"The candidate must attach copies of the following documents:"
"HR & Admin Officer",2019-04-29,2019-04-30," Anti-Counterfeit Agency","Administration / Secretarial  
Human Resources / HR  ","Nairobi","Full Time"," Government","BA/BSc/HND   ","
6 years ",NA,"
Masters degree in Human Resource Management or its equivalent from a recognized institution;
Postgraduate Diploma in Personnel/Human Resource Management or its equivalent from a recognized institution;
Bachelor of Arts degree in Social Sciences (Sociology, Economics, Public/Business Administration, Commerce) or its equivalent from a recognized institution;
at least six (6) years working experience, three (3) of which must have been at a managerial level in Human Resource and Administration;
Membership of a relevant professional body in good standing; and
Senior Management Course.
",NA,"The candidate must attach copies of the following documents:"
"Internal Auditor",2019-04-29,2019-04-30," Anti-Counterfeit Agency","Finance / Accounting / Audit  ","Nairobi","Full Time"," Government","BA/BSc/HND   MBA/MSc/MA   ","
6 years ","
Masters degree in Business Administration or related disciplines;
Bachelor’s degree in Commerce, Business Administration, Economics, Statistics, Sociology, or related disciplines;
Obtained Certified Public Accountants CPA(K) or its equivalent from a recognized Institution;
At least six (6) years working experience, three (3) of which must have been at a managerial level in Auditing
Attended a Senior Management Course; and
Membership to the Institute of Certified Public Accountants of Kenya
",NA,NA,"The candidate must attach copies of the following documents:"
"Legal Services Manager",2019-04-29,2019-04-30," Anti-Counterfeit Agency","Law / Legal  ","Nairobi","Full Time"," Government","BA/BSc/HND   MBA/MSc/MA   ","
10 years ",NA,"
Masters degree in Law or Business Management/Administration;
Bachelor of Laws (LLB) degree from a recognized institution;
Must be an advocate of the High Court of Kenya in Good standing
At least ten (10) years working experience, five (5) of which must have been at a managerial level in litigation
Demonstrated managerial, administrative and professional competence in work performance;
Attended a strategic leadership course not lasting less than four (4) weeks.
",NA,"The candidate must attach copies of the following documents:"
"Supply Chain Officer",2019-04-29,2019-04-30," Anti-Counterfeit Agency","Procurement / Store-keeping / Supply Chain  ","Nairobi","Full Time"," Government","BA/BSc/HND   MBA/MSc/MA   ","
6 years ",NA,"
Masters degree in Business Administration procurement/ Social Sciences/ Purchasing/Commerce/ Economics or related discipline
Bachelor degree in Business Administration procurement/ Social Sciences/Purchasing/Commerce/ Economics or related discipline;
At least six (6) years working experience, three (3) of which must have been at a managerial level in Supply Chain Management
CIPS professional final stage
Membership of KISM in good standing;
Attended a senior Management Course.
",NA,"The candidate must attach copies of the following documents:"
"Senior Emergency Response Officer",2019-04-26,NA," Catholic Agency For Overseas Deve","NGO/Non-Profit  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to Catholic Agency For Overseas Development - CAFOD career website on isw.changeworknow.co.uk to apply"
"Support and Data intern",2019-04-26,NA," Ona","Graduate Jobs / Internships  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ",NA,"

Develop and maintain support documentation on user guides, training programs, processes, and procedures for the ONA platform feature and custom solutions for client projects.


Represent the company and through client and potential client interactions spread the word and support the sale of our products, services, and solutions.

",NA,NA,"Please send the following to jobs+support-data-intern@ona.io:"
"Data analytics lead",2019-04-26,NA," Ona","Media / Advertising / Branding  ","Nairobi","Full Time"," NGO / Non-Profit Associations","BA/BSc/HND   ","
6 years ",NA,NA,NA,"Please send the following to jobs+support-data-intern@ona.io:"
"Information Security Officer",2019-04-26,2019-05-10," Serena Hotels","ICT / Computer  ","Nairobi","Full Time"," Hospitality","BA/BSc/HND   ",NA,NA,NA,NA,"If you believe you have the required qualifications and experience, please apply in confidence by 10th May 2019, enclosing a detailed CV, names and addresses of three referees, your current salary and your telephone contact to anoorani@serena.co.ke"
"Global Head of Personnel",2019-04-26,NA," Sokowatch","Administration / Secretarial  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ","
8 years ","
Build out our people strategy including: performance management, talent acquisition, employee engagement, compensation, benefits, retention, employee and manager training, employee handbook, and culture initiatives.
Establish and implement HR systems and processes to support a workforce that will scale to over 200 employees in the next 12-18 months.
Partner with executives and managers to develop a culture of learning and continuous feedback by creating programs, tools, and experiences that engage our team at all levels and inspire a positive, adaptive, and accountable culture.
Utilize a data driven approach to identify trends and recommend proactive solutions for employee performance, retention, and engagement.
Serve as a senior advisor to the CEO and the executive team on all people related matters to ensure the company has the talent, processes/systems, and policies necessary to support our strategic and financial goals.
Establish scalable solutions empowering our leaders to be better managers and develop programs that prepare high-potential employees for management roles.
Build trust with employees across all layers of the organization and be an active listener and effective problem solver of people issues.
Ensure that the CEO and management team have the “pulse of the company” in order to make proactive and effective organization decisions.
Develop a world-class People Ops team and manage and develop those team members
","
8+ years of leadership experience in a People / HR role, (recent experience expanding and managing People Operations at a high-growth start-up a plus).
Bachelor’s degree, Master’s degree or related certifications a plus.
Experience supporting both salary and hourly workforces, creating relevant and meaningful employee reviews and feedback loops.
Excellent project management skills with a proven ability to design and implement people strategy that drives business results.
A coach and mentor who relates well with others, listens effectively and can build rapport with a diverse workforce — all in the spirit of helping employees at all levels move from goal to outcome in a developmental way.
Strong communicator with the ability to provide both strategic foresight and feedback.
Expert understanding of employment law, compensation, benefits, organizational development, employee relations, and training.
Ability to understand complex business problems, effectively handle ambiguity and manage change.
Positive attitude, responsible approach and a self-starter that’s not afraid to dive in.
A proven strategic and innovative bent with an equally strong operational focus.
Well-developed leadership, communications, team building and influencing skills; unquestioned integrity; and the experience, confidence and stature to effectively address sensitive HR and business issues.
A strong reputation for building, developing and leading a respected and business-oriented HR team
Fluency in English (both oral and written) and the ability to communicate with sophistication within a business setting.
Bonus points: Experience building and facilitating employee trainings; previous experience working in fast-paced, decentralized environments; experience helping organizations scale
",NA,"Interested applicants should send their CV and statement of interest to josh@sokowatch.com"
"Industry Director, Aquaculture",2019-04-26,NA," Msingi East Africa","Administration / Secretarial  ","Nairobi","Full Time"," Consulting","BA/BSc/HND   ",NA,NA,NA,NA,"Interested and qualified? Go to Msingi East Africa career website on msingi.com to apply"
