"field","field_count","title","n"
"ICT / Computer/ Engineering",116,"Senior Cyber Security Operations Center Analyst",1
"ICT / Computer/ Engineering",116,"Senior Manager - Digital Engineering",1
"ICT / Computer/ Engineering",116,"Senior Manager - Managed Security Services",1
"ICT / Computer/ Engineering",116,"Senior Manager <U+0096> Digital Engineering",1
"ICT / Computer/ Engineering",116,"Senior Manager <U+0096> Wholesale Infrastructure & Products",2
"ICT / Computer/ Engineering",116,"Senior Manager, Data Management",1
"ICT / Computer/ Engineering",116,"Senior Officer - Technical Regulations",2
"ICT / Computer/ Engineering",116,"Senior Officer <U+0096> Capex & Assets Managemen",1
"ICT / Computer/ Engineering",116,"Senior Officer <U+0096> Junior Data Scientist",1
"ICT / Computer/ Engineering",116,"Senior Officer CVM Campaign",1
"ICT / Computer/ Engineering",116,"Senior Operations Support Systems (OSS) Network Management System (NMS) Engineer",1
"ICT / Computer/ Engineering",116,"Senior Software Engineer",1
"ICT / Computer/ Engineering",116,"Senior Software Engineer Ecommerce",1
"ICT / Computer/ Engineering",116,"Senior Solution Architect <U+0096> Solutions & Architecture",1
"ICT / Computer/ Engineering",116,"Software Engineer",2
"ICT / Computer/ Engineering",116,"Software Quality Assurance Lead",1
"ICT / Computer/ Engineering",116,"Solutions Integration",1
"ICT / Computer/ Engineering",116,"Support Analyst",1
"ICT / Computer/ Engineering",116,"Systems Administrator",1
"ICT / Computer/ Engineering",116,"Technology Lead Ecommerce",1
"ICT / Computer/ Engineering",116,"Transport Support Engineer",1
"ICT / Computer/ Engineering",116,"User Experience Specialis",1
"ICT / Computer/ Engineering",116,"User Experience Specialist",2
"ICT / Computer/ Engineering",116,"User Experience/user Interface Specilaist",1
"ICT / Computer/ Engineering",116,"UX/UI Designer",1
"ICT / Computer/ Engineering",116,"Web and Content Administrator",1
"Sales / Marketing +",52,"Account Excecutive",1
"Sales / Marketing +",52,"Account Relationship Manager - Public Sector",1
"Sales / Marketing +",52,"Accounts",1
"Sales / Marketing +",52,"Acquisition Manager - Home Channel",1
"Sales / Marketing +",52,"Agribusiness Sales and Distribution Manager",2
"Sales / Marketing +",52,"Agribusiness Sales And Distribution Manager",1
"Sales / Marketing +",52,"Area Sales Manager",1
"Sales / Marketing +",52,"Business Process Transformation Lead",1
"Sales / Marketing +",52,"Cyber Security Assurance",1
"Sales / Marketing +",52,"Dealer Manager",1
"Sales / Marketing +",52,"Head Of Department Regional Sales and Operations",1
"Sales / Marketing +",52,"Head of Department, ECommerce",1
"Sales / Marketing +",52,"Head of Product",1
"Sales / Marketing +",52,"HOD E-commerce",2
"Sales / Marketing +",52,"In-direct Sales Manager",1
"Sales / Marketing +",52,"IP & Capacity Sales",1
"Sales / Marketing +",52,"M-Pesa Bulk Payments Products Manager - Jr",1
"Sales / Marketing +",52,"Manager - Area Sales",2
"Sales / Marketing +",52,"Manager - Area Sales (Busia)",1
"Sales / Marketing +",52,"Manager - Dealer",1
"Sales / Marketing +",52,"Manager <U+0096> Campaign Management and Capabilities",1
"Sales / Marketing +",52,"Marketing Discerning Professionals",1
"Sales / Marketing +",52,"National Account Manager",1
"Sales / Marketing +",52,"Product Manager MPESA",1
"Sales / Marketing +",52,"Regional Account Manager",1
"Sales / Marketing +",52,"Relationship Executive",1
"Sales / Marketing +",52,"Retail Sales Executive Contractor",2
"Sales / Marketing +",52,"Sales Executive",1
"Sales / Marketing +",52,"Senior Manager - Regional Sales",2
"Sales / Marketing +",52,"Senior Manager -Consumer Segment Lead",1
"Sales / Marketing +",52,"Senior Manager Indirect Channel",1
"Sales / Marketing +",52,"Senior Manager Revenue Assurance",1
"Sales / Marketing +",52,"Senior Manager, Regional Sales",2
"Sales / Marketing +",52,"Senior Officer <U+0096> Large Enterprise & Public Sector National Account Manager",1
"Sales / Marketing +",52,"Solution Sales Manager",1
"Sales / Marketing +",52,"Solutions Sales Manager",1
"Sales / Marketing +",52,"Strategic Buyer",1
"Sales / Marketing +",52,"Strategic Partnerships Business Development Lead",1
"Sales / Marketing +",52,"Strategic Sales Marketing Developer",1
"Sales / Marketing +",52,"Territory Account Excecutive",1
"Sales / Marketing +",52,"Territory Account Manager",2
"Sales / Marketing +",52,"Territory Account Manager - Sme, Soho and Regional Sales (Rift Region)",1
"Sales / Marketing +",52,"Territory Account Relationship Manager SME",1
"Sales / Marketing +",52,"Vendor Experience Analyst",1
"Sales / Marketing +",52,"Vendor Experience Senior Officer",1
"Administration / Secretarial +",28,"Administrator",1
"Administration / Secretarial +",28,"Assistant",1
"Administration / Secretarial +",28,"Assurance Analyst Contractor",1
"Administration / Secretarial +",28,"Departmental Administrator",1
"Administration / Secretarial +",28,"Executive Assistant",1
"Administration / Secretarial +",28,"Manager",1
"Administration / Secretarial +",28,"Manager-Acquisition & Distribution Manager",1
"Administration / Secretarial +",28,"Manager <U+0096> Consumer Business Performance",1
"Administration / Secretarial +",28,"Manager Cyber Risk",1
"Administration / Secretarial +",28,"Manager Government Relations",1
"Administration / Secretarial +",28,"Merchant Onboarding Support Contractor",1
"Administration / Secretarial +",28,"Monitoring & Evaluation Senior Officer",1
"Administration / Secretarial +",28,"Principal Officer-Business Improvement Systems",1
"Administration / Secretarial +",28,"Principal Officer-Compliance and Controls",1
"Administration / Secretarial +",28,"Principal Strategic Buyer",1
"Administration / Secretarial +",28,"Program Manager",2
"Administration / Secretarial +",28,"Regional Activation Executive",1
"Administration / Secretarial +",28,"Regional Lead",1
"Administration / Secretarial +",28,"Reporting Analyst",1
"Administration / Secretarial +",28,"Reporting Manager",1
"Administration / Secretarial +",28,"Senior Manager-Risk Business Partner",1
"Administration / Secretarial +",28,"Senior Manager <U+0096>Consumer Products",1
"Administration / Secretarial +",28,"Senior Officer-Foundation, Monitoring & Evaluation",1
"Administration / Secretarial +",28,"Senior Officer - Merchant Onboarding- Enterprise service Delivery",1
"Administration / Secretarial +",28,"Subject Matter Expert - Digital Engineering",1
"Administration / Secretarial +",28,"Vendor Performance Manager",1
"Administration / Secretarial +",28,"Workforce Planning Contractor",1
"Finance / Accounting / Audit +",26,"Accountant - M-PESA Finance Contractor",1
"Finance / Accounting / Audit +",26,"Accountant <U+0096> Accounts Payables",1
"Finance / Accounting / Audit +",26,"Accounts Receivable",1
"Finance / Accounting / Audit +",26,"Accounts Receivable Local Contractor",1
"Finance / Accounting / Audit +",26,"Analyst- Benefits Realization",1
"Finance / Accounting / Audit +",26,"Business Performance Analyst",1
"Finance / Accounting / Audit +",26,"Contractor - Accounts Payables",1
"Finance / Accounting / Audit +",26,"Head of Regulatory & Public Policy",1
"Finance / Accounting / Audit +",26,"Internal Auditor",1
"Finance / Accounting / Audit +",26,"Principal Analyst - Investor Relations",2
"Finance / Accounting / Audit +",26,"Principal Internal Auditor - Commercial Operations Audit",2
"Finance / Accounting / Audit +",26,"Principal Officer - Financial Planning & Analysis",2
"Finance / Accounting / Audit +",26,"Principal Officer - Risk Support",1
"Finance / Accounting / Audit +",26,"Revenue Analyst Contractor (MPESA)",1
"Finance / Accounting / Audit +",26,"Revenue Analyst Contractor (SMS)",1
"Finance / Accounting / Audit +",26,"Sacco Risk & Compliance Officer",1
"Finance / Accounting / Audit +",26,"Senior Accountant; Account Receivable (Contractor)",1
"Finance / Accounting / Audit +",26,"Senior Auditor",1
"Finance / Accounting / Audit +",26,"Territory Account Executive",2
"Finance / Accounting / Audit +",26,"Treasury <U+0096> Senior Accountant",1
"Finance / Accounting / Audit +",26,"Wealth Management",1
"Finance / Accounting / Audit +",26,"Wealth Management Manager",1
"Customer Care +",14,"Account Relationship Manager",1
"Customer Care +",14,"Customer Acquisition",1
"Customer Care +",14,"Customer Executive",1
"Customer Care +",14,"Customer Experience Assesor Contractor",1
"Customer Care +",14,"Customer Experience Executive - Retail Care Desk",1
"Customer Care +",14,"Customer Retention Executive Contractor",1
"Customer Care +",14,"Customer Support Executive",1
"Customer Care +",14,"Relationship Executive",1
"Customer Care +",14,"Retail - Customer Experience Executive",1
"Customer Care +",14,"Senior Officer - Vendor Experience",1
"Customer Care +",14,"Telephone Account Executive",1
"Customer Care +",14,"Territory Account Excecutive",1
"Customer Care +",14,"Vendor Account Manager",1
"Customer Care +",14,"Workforce Performance Analyst",1
