"title","date_posted","deadline","poster","field","location","job_type","industry","minimum_qualification","experience_level","responsibilities","qualifications","benefits","application_method","diff_days"
"Data Analyst",2019-03-29,2019-04-13,"Sunculture Kenya Ltd","Research / Data Analysis +","Nairobi","Full Time","Agriculture / Agro-Allied","BA/BSc/HND <U+00A0>","

2 - 3 years",NA,NA,NA,"Interested and qualified? Great- please submit your application before Friday, 13th April 2019 Midnight.",15
"Big Data & Analytics Technology Solutions Manager",2019-03-26,2019-04-05,"Bsk Global Tech","ICT / Computer +","Nairobi","Full Time","ICT / Telecommunication","BA/BSc/HND <U+00A0>","

5 years","

Assisting the sales colleagues in technical discussions and be responsible for the technology solutions/design for new customers.

Owning the technology solutions for existing customers. You will be a part of a customer team and see to that the customer benefits from the development done by BSK and making sure they have the optimal solution to grow their business with us.

Act as a link between our product and sales departments, making sure that BSK is responsive to customer requirements and always has the best services to offer its customers.

Manage the technology solutions delivery team to ensure value is delivered to our clients.

Supervise the data and analytics team members to optimize the company<U+0092>s data systems and pipeline architecture.

Oversee the design and infrastructure deployment for data extraction, preparation, and loading of data from a variety of sources.

Oversee the deployment of data and analytics tools that will offer deeper insight into the pipeline, allowing for critical discoveries surrounding key performance indicators and customer activity internally and to our clients.

Angle for greater efficiency across all of our company data systems.

","

At least a Bachelor<U+0092>s Degree in IT related studies with 5 years of relevant work experience from application development and/or big data analytics.

Hands on Fintech experience

Team leadership skills

If you have worked with Telco it will be considered a positive advantage.

Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management

Strong interpersonal skills and ability to project manage and work with cross-functional teams

Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.

Experience building and optimizing <U+0091>big data<U+0092> data pipelines, architectures and data sets.

Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.

Experience with at least one of the following tools and technologies (demonstrated knowledge and usage of more than one is considered an advantage):

Hadoop, Spark, Kafka,

Relational SQL and NoSQL databases

Data pipeline/workflow management tools such as Azkaban and Airflow

AWS cloud services such as EC2, EMR, RDS and Redshift

Stream-processing systems such as Storm and Spark-Streaming

Object-oriented/object function scripting languages such as Python, Java, C++, etc.

As BSK is a global company, it<U+0092>s required to be fluent in English, both in speech and writing.

",NA,"Interested candidates are requested to forward their updated CVs stating their expected remuneration to hr@bskglobaltech.com by 5th April 2019 clearly stating on the subject <U+0093>TSM <U+0096> Security & Infrastructure<U+0094>",10
"Public Health Data Manager",2019-03-25,NA,"Iqvia","ICT / Computer +","Nairobi","Full Time","Pharmaceuticals","BA/BSc/HND <U+00A0>","

6 - 8 years","

Ensure data quality through data validation checks, including discrepancy/inconsistency checks, real-time data monitoring and data cleaning

Ensure timely data collection, entry, review and collation of project data <U+0096> both from the laboratories and pharmacies

Create and populate in-country data dashboard to independently track data collection progress, prepare analysis datasets for country analysis and help in resolving of data discrepancies.

Work closely with Project Management Unit to develop and/or review data management systems including data dissemination aids and templates

Under the guidance of technical team leads, conduct data analysis and presentation

Participate in development of specifications, testing and installation of questionnaire (ODK) software

Provide field teams with ICT, data capture and data transmission technical support during data collection

Lead in the population of the in-country data dashboard to track data collection progress

Conduct the extraction of raw and clean data from the server and create datasets accessible to authorized project staff

Provide periodic analysis datasets and data management updates to the PMU head or their designate

Provide oversight for the resolution of possible data discrepancies

Travel to sites in countries as needed to resolve challenges, support the regional coordinators and/ or field teams etc.

","

Bachelors<U+0092> degree in Computer Science, Statistics or related field. Master<U+0092>s degree is a plus

6-8 years of experience in data management or related field

Experience cleaning, collating, templatizing and managing large data sets

High level of proficiency in advanced excel

Experience in data analytics is a plus but not mandatory

Experience working on statistical packages such as SAS, STATA or R is a plus, but not mandatory

Demonstrated experience in using and troubleshooting electronic data collection tools

Candidates with prior experience managing healthcare related datasets will be preferred

",NA,"To apply for position, please send comprehensive CV and latest payslip to Thapi Mokose on Mmathapelo.Mokose@quintiles.com.",NA
"Data Entry Clerk",2019-03-25,2019-03-31,"Rama Homes Limited","ICT / Computer +","Nairobi","Full Time","Real Estate","BA/BSc/HND <U+00A0>",NA,"

Maintain customer database by entering new and updated customers and account information

Processes customer and account source documents by reviewing data for deficiencies; resolving discrepancies by using standard procedures or returning incomplete documents to the supervisor for resolution.

Enters customer and account data by inputting alphabetic and numeric information on keyboard or scanner according to current need.

Maintains data entry requirements by following data program techniques and procedures.

Verifies entered customer and account data by reviewing, correcting, deleting, or reentering data; combining data from both systems when account information is incomplete;

Tests customer and account system changes and upgrades by inputting new data; reviewing output.

Maintains operations by following policies and procedures; reporting needed changes.

Maintains customer confidence and protects operations by keeping information confidential.

Contributes to team effort by accomplishing related results as needed.

","

2 years<U+0092> experience

Accounting academic qualifications.

",NA,"Qualified candidates to send their CV only to hr@ramahomesltd.com on or before 31st March 2019. Only shortlisted candidates will be contacted",6
"Intern <U+0096> Data Analysis Support",2019-03-14,NA,"United Nations Environment Programme","Graduate Jobs / Internships +NGO/Non-Profit +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>",NA,"

Participate in collection, computation and analysis of human settlements Sustainable Development Goal Indicators and New Urban Agenda Indicators and other urban indicators.

Participate in collection, computation and analysis of City Prosperity Index Indicators for various cities.

Assist with logistics of meetings organized by the Global Urban Observatory Unit.

",NA,NA,"Use the link(s) below to apply on company website.",NA
"Intern <U+0096> Data Analysis Support <U+0096> French",2019-03-14,NA,"United Nations Environment Programme","Graduate Jobs / Internships +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>",NA,"

Participate in collection, computation and analysis of human settlements Sustainable Development Goal Indicators and New Urban Agenda Indicators and other urban indicators.

Participate in collection, computation and analysis of City Prosperity Index Indicators for various cities.

Assist with logistics of meetings organized by the Global Urban Observatory Unit.

",NA,NA,"Use the link(s) below to apply on company website.",NA
"Contracting & Database Assistant",2019-03-06,NA,"Sense International","Administration / Secretarial +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>","

3 years","

Managing and updating of Tour Plan Database; ensuring prompt product loading, including specials and promotions

Assist in managing and conducting regular checking of product loading and data integrity

Ensure supplier data, contacts and contracts are received in a timely manner, stored accurately, updated regularly on the server, Tour Plan and B2B systems

Assist in maintaining the Standard Operational Procedures for the contracting and system loading functions

Effective communication with suppliers to uphold, improve and safeguard the corporate image and identity of the company

Assist in negotiating contracts with new and existing suppliers. This includes annual contract renewals, special offers group series and other business terms

Working closely with the Product Development Team to negotiate preferred and improved contracts and amenities with suppliers.

Ensure that all existing and new products are delivered with the most competitive price

",NA,NA,"Interested and qualified? Send in your application by clicking the Apply button below",NA
"Data and Methods Specialist - USAID/East Africa",2019-03-05,2019-04-04,"Panagora Group","ICT / Computer +","Nairobi","Full Time","NGO / Non-Profit Associations","MBA/MSc/MA <U+00A0>","

15 years",NA,"

At least 15 years<U+0092> of professional experience in designing and maintaining management information and reporting systems, with at least 5 years<U+0092> of international experience.

A Master<U+0092>s degree in information management or a related technical field.

Demonstrated experience successfully communicating with users to create systems that meet individual and organizational needs, and to gain adoption of those systems.

Familiarity with database development and a thorough understanding of M&E;

Familiarity with USAID<U+0092>s objectives, approaches and operations, particularly as they relate to MEL;

Advanced skills in using common quantitative and/or qualitative data analysis software such as SPSS, Stata, ATLAS-ti, and NVivo;

Excellent American English writing skills and speaking ability.

Only finalists will be contacted. Panagora is an equal opportunity employer and does not discriminate in its selection and employment practices.

",NA,"Use the link(s) below to apply on company website.",30
"Data Entry Clerk",2019-03-05,2019-04-20,"Easyelimu Educational Services","Education / Teaching +","Nairobi","Full Time","Education / Teaching / Information","BA/BSc/HND <U+00A0>","Salary15 000 min","

Typing notes and past papers for our website.

Proofreading uploaded content.

Printing and preparing hard copies on as needed basis.

","

Be 18 years of age

Have a good command of English (at least a C in KCSE English)

Have at least form four certificate

",NA,"CVs and Cover Letters should be sent to info@easyelimu.com on or before 20th April 2019",46
"Assistant Data Analyst",2019-03-01,2019-03-15,"Vivo Activewear","ICT / Computer +","Nairobi","Full Time","Sales / Marketing / Retail","BA/BSc/HND <U+00A0>","

1 - 2 years",NA,"

Degree in applied/pure mathematics, statistics, Information Management or any other quantitative discipline.

1 -2 years<U+0092> experience in a similar role.

Excel VBA programming skills, Python or R

Training in advanced excel, access and added advantage.

",NA,"Please indicate your salary expectation on the subject line. Applications that do not include the salary expectation will NOT be considered.",14
"DBA <U+0096> Database Administrator",2019-02-27,NA,"Techsavanna Technology Limited","ICT / Computer +","Nairobi","Full Time","ICT / Telecommunication","BA/BSc/HND <U+00A0>","

2 years",NA,NA,NA,"If you feel that you are up to the challenge and possess the necessary qualification and experience, please send your resume with your cell phone contact indicating your experience and why you are the most suitable candidate for the role, clearly quoting the job title and job reference to the address below: info@techsavanna.technology",NA
"Data Protection Lead",2019-02-26,2019-03-08,"Action Aid","ICT / Computer +NGO/Non-Profit +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Please send your CV and cover letter to hrworkspace@actionaid.org by 8th March 2019. For more information on the role, visit our website on www.actionaid.org",10
"ICT & Database Associate",2019-02-12,2019-02-22,"Urgent Action Fundafrica","ICT / Computer +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>","

3 years",NA,"

Bachelor<U+0092>s degree in Computer Science, Information Technology or equivalent qualification;

Professional certification in Servers, Networks, Hardware or Databases.

",NA,"Please submit cover letter, and resume to jobs@uaf-africa.org with <U+0093>ICT & Database Associate<U+0094> in the subject line. No phone calls please.",10
"Data Manager",2019-02-08,NA,"Path","ICT / Computer +Research / Data Analysis +","Kisumu","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>","

7 years","

Provide technical support in all aspects of data management including: designing of data collection instruments; designing and maintaining project databases; planning and conducting data analyses, interpretation and dissemination; assessing data quality

Ensure data quality through data validation checks, including discrepancy/inconsistency checks, real-time data monitoring and data cleaning

Ensure timely data collection, entry, review and collation of project data - both from health facilities and the community

Work closely with M&E team and Health Informatics officer to develop and/or review data management systems including data dissemination aids and templates

Under the guidance of technical team leads, conduct in-depth and robust data analysis and presentation

Develop and implement a plan of building the capacity of project staff in data management including analysis, use and dissemination

Contribute to development of in-depth analysis of Afya Ziwani project data for publications, advocacy, proposal writing and presentation to various audiences as need arises

Assist in writing/editing guidelines/SOPs for data entry, management and analysis

Provide technical guidance in strategies for improving the quality of data from health facilities and the community, and overall data dissemination and utilization at project level

Responds to data requests from the project technical team in a timely manner

",NA,NA,"Interested and qualified? Go to PATH career website on path.silkroad.com to apply",NA
"Economist & Statistician",2019-02-07,2019-02-18,"Office of the Director of Public Prosecutions","Finance / Accounting / Audit +","Nairobi","Full Time","Government","BA/BSc/HND <U+00A0>","

2 years","

Conducting economic analysis on ODPP to determine the financial capability of the institution, in order to advise on the resources required for the implementation of the ODPP strategy;

Assisting in the preparation of the annual work plans to ensure efficiency in the implementation of the division strategy;

Consolidating the ODPP development plans and forward to the Senior Economist for review, to ensure the plans capture the strategic objectives of ODPP in the delivery of service;

Reviewing development policies and strategies prepared by Economist II to ensure alignment with the ODPP overall strategic objectives;

Conducting statistical data analysis to ensure the data enhances the quality of decisions made at ODPP in the delivery of public prosecution services;

Providing input into the development of the divisional budget, and ensure the allocation of sufficient resources necessary for the implementation of the divisional strategy, to ensure the strategy is implemented in a timely manner and within the set quality standards;

Participating in the institutional performance management process, to ensure all operations at ODPP are directed towards the achievement of the ODPP overall objectives on service delivery;

Monitor the implementation of the ODPP strategic plan, to ensure delivery within timelines and quality standards;

Preparing reports as required from time to time, to support decisions that are informed in the delivery of service;

Participating in public expenditure review to gamer expertise in expenditure management, and to support the process;

Monitoring the performance of staff working under him/her and ensure the staff are trained and developed in order to enhance performance; and

Supervising, mentoring and coaching the staff working under him/her for staff development and enhanced performance.

","

Served in the grade of Economist II/Statistician II or in a comparable and relevant position in the Public

Service or Private Sector for a minimum period of Two (2) years;

A Bachelor<U+0092>s degree in Economics or Economics and Mathematics, or its equivalent qualification from a recognized institution;

Demonstrated professional ability, initiative and competence in organizing, directing and executing work at this level; and

Demonstrated merit and ability as reflected in work performance and results.

",NA,"Interested and qualified candidates are invited to make their applications by completing ONE application form ODPP 1.",11
"Data Scientist",2019-02-07,NA,"Unilever","ICT / Computer +","Nairobi","Full Time","Manufacturing / Production / FMCG","BA/BSc/HND <U+00A0>","

2 - 4 years",NA,NA,NA,"Interested and qualified? Go to Unilever career website on unilever.taleo.net to apply",NA
"Data Specialist",2019-02-06,2019-02-12,"Kemri Wellcome Trust Research Programme
","ICT / Computer +","Kisumu","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>","

2 - 3 years","

Diploma in Computer Science, Information Technology, Mathematics of Statistics from a recognized institution<U+00A0>

Minimum of 3 years working in data management preferable within a research setup<U+00A0>

At least 2 years<U+0092> experience working with Open Data Kit(ODK) and other web-based and tablet-based data capture systems is essential<U+00A0>

Excellent Microsoft Office skills

Experience working with relational database management systems<U+00A0>

",NA,NA,"Applications are due no later than: 12th February 2019. to: Human Resource Manager, KEMRI/CGHR Research Program, P.O. Box 1578, Kisumu. Or email to recruitment@kemricdc.org",6
"Data Scientist",2019-01-30,2019-02-08,"Unilever","ICT / Computer +","Nairobi","Full Time","Manufacturing / Production / FMCG","BA/BSc/HND <U+00A0>","

2 - 4 years",NA,NA,NA,"Use the link(s) below to apply on company website.",9
"Senior Data Analyst",2019-01-28,2019-02-05,"Kenya National Bureau of Statistics Knbs","Research / Data Analysis +","Nairobi","Full Time","Government","MBA/MSc/MA <U+00A0>","

10 years","

Working with Statisticians in KNBS and the project Data Manager to obtain data sets of relevance to nutrition from Ministries, International agencies and Civil society organisations to catalogue and archive the files;

Undertaking specialised analysis of data which contributes to answering the questions posed by the Policy Advisory Committee;

Supporting the production of summary statistics by regions and Counties that could be contributed to data dashboards or developed by the project and placed on the website of KNBS;

Participating in meetings of the KNIPFN Policy Advisory Committee to provide support and guidance on the information and data required for analysis are available to assist in analysis of the questions raised;

Working with staff of the KNIPFN to write reports, policy briefs, papers and other documents with the support of the project Communications Officer;

Liaising with staff of the Global Support Facility for the NIPN initiative to identify suitable training courses for staff and specialist advisors or specialist training materials to support the analytical processes of the project;

Undertaking special tasks assigned by the Project Director, related to the KNIPFN project;

Attending meetings of the KNIPFN Project Management Committee as a representative of the KNIPFN Analysis unit;

Attending the annual international technical meeting of NIPNs organised by the GSF;

Any other duties as may be assigned by the Supervisor.

","

A Master Degree in Statistics, Mathematics, Economics, Econometrics or equivalent qualifications from a recognised institution;

At least ten (10) years<U+0092> experience in the management, analysis and reporting of biomedical data including human nutrition statistics;

Experience in managing, organising, creating, analysing and archiving data sets;

Experience of analysing panel data from surveillance systems or multiple data sets of cross-sectional surveys;

Proven experience in using STATA statistical software;

Experience of using R and ARC-GIS software is an added advantage;

Proven ability to write technical reports, documents or papers in English;

Must meet the requirements of Chapter six (6) of the Constitution of Kenya 2010.

",NA,"Applicants should fill and submit hard copies of the employment application form, accompanied by copies of academic, professional and other relevant certificates, transcripts and testimonials. The reference number for the post applied for should be clearly marked on the envelope and addressed to:",8
"Data Manager",2019-01-28,2019-02-05,"Kenya National Bureau of Statistics Knbs","Research / Data Analysis +","Nairobi","Full Time","Government","BA/BSc/HND <U+00A0>","

10 years","

Summarising the data sets available in a standard format and maintaining records of data found and provided;

Formulating and implementing efficient and secure procedures for data handling and data sharing;

Creating and enforcing policies for ensuring data security to prevent security breaches and data loss with the assistance of the KNBS IT unit;

Translating analysing requests into a list of required datasets and a schedule for their acquisition, processing, describing and cataloguing;

Overseeing rules and procedures for data sharing;

Monitoring the flow of datasets in both the data cleaning and analysis teams, ensuring there are no bottlenecks in the distribution and sharing of data;

Overseeing the implementation, daily operations and maintenance of the repository of datasets;

Undertaking special tasks assigned by the Project Director related to the KNIPFN project;

Undertaking any other duties as may be assigned by the Supervisor.

","

Bachelors Degree in Statistics, Mathematics, Computing, Information Technology or equivalent qualifications from a recognised institution;

Ten (10) years<U+0092> working experience in data management;

Experience in using computer softwares to handle data, ideally on networked computers running the Windows Operating System, and experience in use of database software such as Access and Excel;

Experience in the use of statistical softwares such as STATA or R and microdata cataloguing tools, Nesstar or NADA will be an added advantage.

",NA,"Applicants should fill and submit hard copies of the employment application form, accompanied by copies of academic, professional and other relevant certificates, transcripts and testimonials. The reference number for the post applied for should be clearly marked on the envelope and addressed to:",8
"Statistician",2019-01-28,2019-02-05,"Kenya National Bureau of Statistics Knbs","Research / Data Analysis +","Nairobi","Full Time","Government","BA/BSc/HND <U+00A0>","

5 years","

Collecting, aggregating and merging data sets for multisectoral analysis;

Assessing the distribution of variables for application of the most appropriate statistical;

Analysing data using statistical software such as STATA or R by applying the most appropriate and robust statistical methods and sampling weights;

Storing and cataloguing the syntax files, the output files and any history file of analysis to create a record of the analysis done;

Creating new data sets of summary statistics for presentation in data dashboards;

Assisting technical officers/Advisors to interpret the output of statistical analysis;

Applying best practices in data processing, management and analysis.

","

Bachelors Degree in Statistics, Mathematics or equivalent qualifications from a recognised institution;

Five (5) years<U+0092> working experience in organising and analysing large data sets, (ideally nutritional/biomedical or agricultural in origin, using statistical software.

Experience in using Stata statistical software;

Experience in STATA and R statistical software;

Ability to produce reports will be an added advantage.

",NA,"Applicants should fill and submit hard copies of the employment application form, accompanied by copies of academic, professional and other relevant certificates, transcripts and testimonials. The reference number for the post applied for should be clearly marked on the envelope and addressed to:",8
"WISH2ACTION Data Analyst - French or Arabic Speaking",2019-01-25,NA,"Green Park","NGO/Non-Profit +","Nairobi","Full Time","Consulting","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Interested and qualified? Go to Green Park career website on www.linkedin.com to apply",NA
"Volunteer Opportunity: Salesforce Database Customization for Resilience Action International (Remote)",2019-01-25,NA,"Catchafire","NGO/Non-Profit +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>",NA,NA,NA,NA,"Use the link(s) below to apply on company website.",NA
"Tiko System Data Analyst",2019-01-21,NA,"Triggerise","ICT / Computer +","Nairobi","Full Time","NGO / Non-Profit Associations","BA/BSc/HND <U+00A0>","

3 years",NA,NA,NA,"Interested and qualified? Go to Triggerise career website on www.linkedin.com to apply",NA
"Database Administrator & Report Writer",2019-01-18,NA,"Autoxpress Ltd","ICT / Computer +","Nairobi","Full Time","Engineering / Technical","BA/BSc/HND <U+00A0>","

3 years","

Modify and maintain existing databases and relational database management systems (RDBMS) with a focus on Microsoft SQL Server 2012 and later to industry standards and best practices.

Database administration and security management

Create and maintain routines for database backups and test restores with full documentation<U+00A0>

Troubleshoot and resolve database performance, replication, and security issues

Design, implement, and administer High-Availability, Disaster Recovery (HADR) configurations across the WAN.

Participate in implementing business continuity and disaster recovery plans and testing

Design, develop, publish, and maintain management dashboards and SSRS reporting solutions

Work directly with decision makers and end users to understand, define, and document current and possible future reporting goals, needs, and requirements

Utilizing a helpdesk tracking system, documents timely status and completion of requested reports and projects.

Work as an integral member of the IT team to support the efficient and effective management of data throughout AutoXpress

Performing day-to-day system management and support functions; developing reports requirements, systems implementation and deployment, systems support, helpdesk call logs.<U+00A0>

Reporting to management on the impact, effectiveness and utilization of the company<U+0092>s systems

Perform other duties as assigned.

",NA,NA,"Interested and qualified? Go to AutoXpress Ltd career website on docs.google.com to apply",NA
"Database Administrator",2019-01-17,NA,"Safaricom Kenya","ICT / Computer +","Nairobi","Full Time","ICT / Telecommunication","BA/BSc/HND <U+00A0>","

4 years","

Database administration and support lifecycle including backup/recovery automation/and maintenance.

Supporting the development, system test, user acceptance, training, and production database environments.

Ensure 99.99% availability maintained for all critical databases;

Ensure 95% of tickets raised are responded to within the 1st hour of incident reporting.

Ensure 95% of tickets raised are responded to within the 1st hour of incident reporting.

Ensure 90% of tickets closure is maintained;

Identify and implementing Best Practices for Database Administration Liaise with vendor<U+0092>s i.e. Cisco as 3rd level escalations.

Design BCP and HA solutions for critical systems in order to achieve zero downtime during maintenance and failures;

Assist Infrastructure, Enterprise Business Unit (EBU) teams and other Technology teams with hardware and support requirements for database administration;

Ensure Conformance to security standards for databases and data integrity;

Develop retention policies and architecture for all systems, whilst maintaining BCP;

Ensure regular reviews on ILM policies conducted;

Ensure dimensioning of systems is done periodically based on demand experienced and projected;

Ensure optimal performance of all systems maintained conforming to the SLA agreements between business and Quality Assurance.

","

Degree in Computer Science or Technical Related Field;

With at least 4 years<U+0092> hands on Experience in Managing large databases;

Experience in Nosql databases, Mysql and other OpenSource databases platforms

Experience in Oracle RAC, Dataguard, RMAN and Engineered systems.

Experience in Linux/Unix Operating system.

Database Systems Administration Techniques <U+0096> understanding of DB Performance tuning on various Operating Systems, good troubleshooting skills, Database Migration and ILM techniques

Attention to details and analytical thinking.

Certifications <U+0096>OCP, OCE; EXADATA Administration; MSSQL Server Administration; Hadoop Administration; Linux/ UNIX certification

",NA,"Interested and qualified? Go to Safaricom Kenya career website on safaricom.taleo.net to apply",NA
